,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,962819320,Apartamentos,0.0,103,3,4,2,Fortaleza,Parque Iracema,700000.0
1,913515767,Apartamentos,600.0,75,3,4,2,Fortaleza,Parque Iracema,550000.0
2,931481364,Apartamentos,0.0,80,3,2,2,Fortaleza,Parque Iracema,664487.0
3,961937652,Apartamentos,343.0,58,2,2,2,Fortaleza,Parque Iracema,425000.0
4,967290708,Apartamentos,0.0,99,3,3,2,Fortaleza,Parque Iracema,736235.0
5,940095067,Apartamentos,560.0,87,3,3,2,Fortaleza,Parque Iracema,480000.0
6,772801744,Apartamentos,565.0,120,3,5 ou mais,2,Fortaleza,Parque Iracema,750000.0
7,960404564,Apartamentos,380.0,56,3,2,1,Fortaleza,Parque Iracema,260000.0
8,977529575,Apartamentos,420.0,58,2,2,2,Fortaleza,Parque Iracema,329000.0
9,977529569,Apartamentos,800.0,122,3,4,2,Fortaleza,Parque Iracema,650000.0
10,977529559,Apartamentos,720.0,113,4,4,2,Fortaleza,Parque Iracema,600000.0
11,977529533,Apartamentos,0.0,70,3,3,2,Fortaleza,Parque Iracema,400000.0
12,977529522,Apartamentos,720.0,113,4,4,2,Fortaleza,Parque Iracema,620000.0
13,977529493,Apartamentos,0.0,141,3,4,3,Fortaleza,Parque Iracema,960000.0
14,949271454,Apartamentos,0.0,112,3,3,2,Fortaleza,Parque Iracema,750000.0
15,963033508,Apartamentos,360.0,60,3,2,1,Fortaleza,Parque Iracema,240000.0
16,950491313,Apartamentos,680.0,86,3,3,2,Fortaleza,Parque Iracema,440000.0
17,919738361,Apartamentos,760.0,142,3,5 ou mais,3,Fortaleza,Parque Iracema,920000.0
18,952671406,Apartamentos,760.0,141,4,5 ou mais,3,Fortaleza,Parque Iracema,890000.0
19,956188153,Apartamentos,412.0,67,3,2,2,Fortaleza,Parque Iracema,200000.0
20,963039500,Apartamentos,0.0,105,3,3,2,Fortaleza,Parque Iracema,600000.0
21,977476972,Apartamentos,650.0,112,3,3,2,Fortaleza,Parque Iracema,740000.0
22,970513782,Apartamentos,753.0,122,4,4,2,Fortaleza,Parque Iracema,855000.0
23,920726032,Apartamentos,500.0,73,3,3,2,Fortaleza,Parque Iracema,480000.0
24,947695495,Apartamentos,0.0,120,3,3,2,Fortaleza,Parque Iracema,723000.0
25,970000901,Apartamentos,525.0,103,3,4,2,Fortaleza,Parque Iracema,772000.0
26,962034327,Apartamentos,0.0,112,3,3,2,Fortaleza,Parque Iracema,750000.0
27,818188139,Apartamentos,455.0,91,3,3,2,Fortaleza,Parque Iracema,550000.0
28,947287211,Apartamentos,900.0,125,3,4,2,Fortaleza,Parque Iracema,930000.0
29,955690627,Apartamentos,550.0,80,3,2,2,Fortaleza,Parque Iracema,499000.0
30,970055407,Apartamentos,375.0,60,3,2,1,Fortaleza,Parque Iracema,249000.0
31,636184554,Apartamentos,0.0,70,3,2,2,Fortaleza,Parque Iracema,525000.0
32,941018951,Apartamentos,680.0,106,3,4,2,Fortaleza,Parque Iracema,690000.0
33,952650114,Apartamentos,565.0,120,3,3,2,Fortaleza,Parque Iracema,750000.0
34,969518796,Apartamentos,0.0,87,3,3,2,Fortaleza,Parque Iracema,400000.0
35,959072165,Apartamentos,686.0,141,4,5 ou mais,3,Fortaleza,Parque Iracema,900000.0
36,954046560,Apartamentos,600.0,105,4,3,2,Fortaleza,Parque Iracema,639000.0
37,934746395,Apartamentos,300.0,58,2,2,1,Fortaleza,Parque Iracema,375000.0
38,843546792,Apartamentos,380.0,57,2,2,2,Fortaleza,Parque Iracema,360000.0
39,935997838,Apartamentos,674.0,95,3,4,5 ou mais,Fortaleza,Parque Iracema,720000.0
40,972120954,Apartamentos,322.0,58,2,2,1,Fortaleza,Parque Iracema,377443.0
41,977216099,Apartamentos,615.0,80,3,2,2,Fortaleza,Parque Iracema,495000.0
42,977200457,Apartamentos,504.0,89,3,2,2,Fortaleza,Parque Iracema,550000.0
43,977193554,Casas,720.0,73,3,2,1,Fortaleza,Parque Iracema,270000.0
44,940101282,Apartamentos,0.0,95,3,2,2,Fortaleza,Parque Iracema,665000.0
45,968492181,Apartamentos,500.0,87,3,3,2,Fortaleza,Parque Iracema,420000.0
46,970510659,Apartamentos,750.0,112,3,3,2,Fortaleza,Parque Iracema,640000.0
47,935170469,Apartamentos,260.0,45,2,1,0,Fortaleza,Parque Iracema,240000.0
48,972268084,Apartamentos,504.0,90,3,2,2,Fortaleza,Parque Iracema,535000.0
49,922286296,Apartamentos,0.0,89,3,2,2,Fortaleza,Parque Iracema,565000.0
50,959072015,Apartamentos,450.0,90,3,2,2,Fortaleza,Parque Iracema,555000.0
51,942749424,Apartamentos,504.0,103,3,1,2,Fortaleza,Parque Iracema,680000.0
52,946911012,Apartamentos,0.0,80,3,1,2,Fortaleza,Parque Iracema,664482.0
53,899295363,Apartamentos,680.0,106,3,3,2,Fortaleza,Parque Iracema,690000.0
54,977080008,Casas,720.0,73,3,2,1,Fortaleza,Parque Iracema,270000.0
55,977038796,Apartamentos,390.0,73,3,2,2,Fortaleza,Parque Iracema,450000.0
56,926544852,Apartamentos,500.0,70,3,2,,Fortaleza,Parque Iracema,468000.0
57,967571394,Apartamentos,650.0,109,4,4,2,Fortaleza,Parque Iracema,640000.0
58,962031199,Apartamentos,600.0,95,3,3,2,Fortaleza,Parque Iracema,720000.0
59,953378414,Apartamentos,650.0,80,3,2,2,Fortaleza,Parque Iracema,260000.0
60,963487771,Apartamentos,565.0,120,3,3,2,Fortaleza,Parque Iracema,750000.0
61,963046239,Apartamentos,0.0,70,3,2,2,Fortaleza,Parque Iracema,420000.0
62,915821439,Apartamentos,480.0,89,3,2,2,Fortaleza,Parque Iracema,535000.0
63,932285666,Casas,250.0,112,3,3,2,Fortaleza,Parque Iracema,300000.0
64,976903623,Apartamentos,0.0,73,2,3,2,Fortaleza,Parque Iracema,420000.0
65,963035165,Apartamentos,720.0,140,3,4,3,Fortaleza,Parque Iracema,970000.0
66,934746516,Apartamentos,500.0,70,3,2,2,Fortaleza,Parque Iracema,458000.0
67,940100614,Apartamentos,0.0,112,4,4,2,Fortaleza,Parque Iracema,640000.0
68,967746274,Apartamentos,650.0,112,3,4,2,Fortaleza,Parque Iracema,750000.0
69,940100811,Apartamentos,343.0,58,2,2,2,Fortaleza,Parque Iracema,330600.0
70,960643868,Casas,650.0,117,3,2,1,Fortaleza,Parque Iracema,289000.0
71,780808008,Apartamentos,686.0,141,4,5 ou mais,3,Fortaleza,Parque Iracema,900000.0
72,970428100,Apartamentos,650.0,89,3,3,2,Fortaleza,Parque Iracema,535000.0
73,940587575,Apartamentos,642.0,112,3,4,2,Fortaleza,Parque Iracema,737000.0
74,976779195,Apartamentos,650.0,112,3,4,2,Fortaleza,Parque Iracema,740000.0
75,976779180,Apartamentos,720.0,140,3,4,3,Fortaleza,Parque Iracema,970000.0
76,976753751,Apartamentos,600.0,80,3,2,2,Fortaleza,Parque Iracema,499000.0
77,896758436,Apartamentos,412.0,67,3,2,2,Fortaleza,Parque Iracema,169999.0
78,934762281,Apartamentos,350.0,58,2,1,5 ou mais,Fortaleza,Parque Iracema,382000.0
79,954960034,Apartamentos,0.0,91,3,4,2,Fortaleza,Parque Iracema,778536.0
80,772801752,Apartamentos,310.0,59,2,2,1,Fortaleza,Parque Iracema,365000.0
81,928866185,Casas,0.0,114,5 ou mais,4,5 ou mais,Fortaleza,Parque Iracema,590000.0
82,976692003,Apartamentos,322.0,58,2,2,1,Fortaleza,Parque Iracema,485000.0
83,909177898,Apartamentos,0.0,90,3,2,2,Fortaleza,Parque Iracema,639276.0
84,976649730,Apartamentos,830.0,113,3,3,2,Fortaleza,Parque Iracema,570000.0
85,976649484,Apartamentos,630.0,105,3,3,2,Fortaleza,Parque Iracema,649900.0
86,976649492,Apartamentos,370.0,58,2,2,2,Fortaleza,Parque Iracema,359990.0
87,976649399,Apartamentos,667.0,103,3,4,2,Fortaleza,Parque Iracema,718000.0
88,962819264,Apartamentos,0.0,89,3,3,2,Fortaleza,Parque Iracema,490000.0
89,960126782,Apartamentos,700.0,112,3,4,2,Fortaleza,Parque Iracema,650000.0
90,976578716,Apartamentos,0.0,55,2,2,1,Fortaleza,Parque Iracema,436080.0
91,937396785,Apartamentos,280.0,54,2,1,1,Fortaleza,Parque Iracema,240000.0
92,976529145,Apartamentos,0.0,110,3,3,2,Fortaleza,Parque Iracema,869000.0
93,976525571,Apartamentos,380.0,56,3,2,1,Fortaleza,Parque Iracema,260000.0
94,967300503,Apartamentos,0.0,89,3,2,2,Fortaleza,Parque Iracema,704042.0
95,958684569,Apartamentos,0.0,90,3,2,2,Fortaleza,Parque Iracema,716812.0
96,970516594,Apartamentos,930.0,141,4,4,3,Fortaleza,Parque Iracema,798000.0
97,950571657,Apartamentos,760.0,140,3,4,2,Fortaleza,Parque Iracema,970000.0
98,972296878,Apartamentos,345.0,58,2,2,2,Fortaleza,Parque Iracema,425000.0
99,976431540,Apartamentos,650.0,112,3,4,2,Fortaleza,Parque Iracema,740000.0
100,865009896,Apartamentos,505.0,89,3,2,2,Fortaleza,Parque Iracema,535000.0
101,957634326,Apartamentos,550.0,87,3,3,2,Fortaleza,Parque Iracema,440000.0
102,976315006,Apartamentos,720.0,141,4,4,3,Fortaleza,Parque Iracema,970000.0
103,937992917,Apartamentos,580.0,86,3,3,2,Fortaleza,Parque Iracema,395000.0
104,970535122,Apartamentos,562.0,120,4,5 ou mais,2,Fortaleza,Parque Iracema,750000.0
105,957724936,Apartamentos,380.0,56,3,2,1,Fortaleza,Parque Iracema,260000.0
106,927583429,Apartamentos,550.0,80,2,2,2,Fortaleza,Parque Iracema,485000.0
