,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,950330950,Casas,0.0,48,2,1,0,Fortaleza,Parque Manibura,85000.0
1,914999001,Apartamentos,300.0,64,3,,1,Fortaleza,Parque Manibura,249000.0
2,894334489,Casas,0.0,438,4,5 ou mais,5 ou mais,Fortaleza,Parque Manibura,1500000.0
3,977331846,Casas,0.0,1200,5 ou mais,5 ou mais,5 ou mais,Fortaleza,Parque Manibura,6000000.0
4,946635041,Apartamentos,275.0,61,3,2,1,Fortaleza,Parque Manibura,230000.0
5,944863169,Casas,800.0,140,3,1,2,Fortaleza,Parque Manibura,750000.0
6,894333525,Casas,0.0,120,3,2,2,Fortaleza,Parque Manibura,350000.0
7,942395884,Casas,0.0,170,3,4,3,Fortaleza,Parque Manibura,690000.0
8,942001958,Apartamentos,780.0,92,3,2,2,Fortaleza,Parque Manibura,900000.0
9,955293069,Apartamentos,580.0,70,2,2,1,Fortaleza,Parque Manibura,270000.0
10,920717969,Casas,0.0,420,3,5 ou mais,4,Fortaleza,Parque Manibura,699000.0
11,883259685,Casas,950.0,180,4,4,3,Fortaleza,Parque Manibura,950000.0
12,670526072,Casas,0.0,148,3,3,5 ou mais,Fortaleza,Parque Manibura,450000.0
13,970213626,Casas,1000.0,106,3,3,3,Fortaleza,Parque Manibura,540000.0
14,968131875,Apartamentos,380.0,65,3,2,2,Fortaleza,Parque Manibura,185000.0
15,929707943,Casas,0.0,218,4,4,3,Fortaleza,Parque Manibura,690000.0
16,917255832,Casas,0.0,217,4,4,3,Fortaleza,Parque Manibura,690000.0
17,952019267,Casas,1000.0,156,3,1,2,Fortaleza,Parque Manibura,550000.0
18,977200401,Casas,0.0,166,4,5 ou mais,4,Fortaleza,Parque Manibura,599999.0
19,963130727,Apartamentos,275.0,60,3,2,1,Fortaleza,Parque Manibura,225000.0
20,906849056,Apartamentos,275.0,60,3,,1,Fortaleza,Parque Manibura,229000.0
21,972387209,Casas,1000.0,182,3,5 ou mais,2,Fortaleza,Parque Manibura,950000.0
22,821217170,Apartamentos,325.0,60,3,2,2,Fortaleza,Parque Manibura,249900.0
23,929348575,Casas,1000.0,182,3,5 ou mais,2,Fortaleza,Parque Manibura,950000.0
24,898266969,Casas,0.0,180,4,4,4,Fortaleza,Parque Manibura,550000.0
25,955426803,Casas,1000.0,180,4,4,2,Fortaleza,Parque Manibura,939000.0
26,917478867,Casas,0.0,300,5 ou mais,5 ou mais,5 ou mais,Fortaleza,Parque Manibura,1200000.0
27,920487611,Casas,0.0,280,5 ou mais,5 ou mais,5 ou mais,Fortaleza,Parque Manibura,750000.0
28,976685003,Casas,0.0,135,3,3,3,Fortaleza,Parque Manibura,495000.0
29,961924704,Casas,0.0,200,3,4,2,Fortaleza,Parque Manibura,580000.0
30,959977718,Casas,0.0,217,3,3,0,Fortaleza,Parque Manibura,680000.0
31,976298659,Apartamentos,0.0,52,2,2,1,Fortaleza,Parque Manibura,450000.0
32,964109273,Apartamentos,0.0,65,3,2,1,Fortaleza,Parque Manibura,200000.0
33,942749440,Apartamentos,650.0,70,3,2,2,Fortaleza,Parque Manibura,245000.0
34,919886491,Casas,0.0,168,4,4,5 ou mais,Fortaleza,Parque Manibura,849000.0
35,962357755,Casas,0.0,275,5 ou mais,5 ou mais,5 ou mais,Fortaleza,Parque Manibura,550000.0
