,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,959816110,Casas,0.0,163,3,4,4,Fortaleza,Parquelândia,880000.0
1,896969269,Apartamentos,0.0,84,3,1,0,Fortaleza,Parquelândia,430000.0
2,977589970,Casas,367.0,0,2,2,2,Fortaleza,Amadeu Furtado,85001.0
3,850995740,Apartamentos,630.0,109,3,4,2,Fortaleza,Parquelândia,660000.0
4,977571445,Apartamentos,0.0,110,3,3,2,Fortaleza,Parquelândia,600000.0
5,942849869,Apartamentos,670.0,84,3,1,2,Fortaleza,Parquelândia,420000.0
6,958434407,Casas,0.0,128,3,3,2,Fortaleza,Parquelândia,750000.0
7,944040726,Apartamentos,600.0,120,3,2,1,Fortaleza,Parquelândia,290000.0
8,977529470,Casas,0.0,140,5 ou mais,4,3,Fortaleza,Amadeu Furtado,440000.0
9,977519534,Apartamentos,250.0,86,3,2,2,Fortaleza,Amadeu Furtado,255000.0
10,896969264,Apartamentos,0.0,169,3,1,3,Fortaleza,Parquelândia,1210000.0
11,960236801,Casas,0.0,90,2,2,1,Fortaleza,Parquelândia,380000.0
12,920063609,Apartamentos,0.0,130,4,3,2,Fortaleza,Parquelândia,409900.0
13,919964710,Apartamentos,0.0,59,2,2,2,Fortaleza,Amadeu Furtado,515398.0
14,924123061,Apartamentos,430.0,82,3,2,2,Fortaleza,Amadeu Furtado,230000.0
15,977405427,Casas,0.0,230,4,3,2,Fortaleza,Parquelândia,410000.0
16,952666465,Casas,0.0,462,5 ou mais,4,2,Fortaleza,Parquelândia,949900.0
17,714931272,Casas,0.0,245,3,4,,Fortaleza,Parquelândia,620000.0
18,873588844,Apartamentos,0.0,84,3,2,2,Fortaleza,Parquelândia,590000.0
19,972296872,Casas,0.0,178,4,4,5 ou mais,Fortaleza,Amadeu Furtado,1499000.0
20,892505916,Apartamentos,650.0,243,3,5 ou mais,3,Fortaleza,Parque Araxá,1068386.0
21,968810068,Apartamentos,450.0,86,2,2,1,Fortaleza,Amadeu Furtado,230000.0
22,878164983,Apartamentos,850.0,151,4,5 ou mais,3,Fortaleza,Parquelândia,995000.0
23,892505217,Apartamentos,500.0,84,3,3,2,Fortaleza,Parquelândia,545000.0
24,946635050,Apartamentos,530.0,65,2,2,1,Fortaleza,Parquelândia,300000.0
25,695879923,Apartamentos,0.0,113,4,4,2,Fortaleza,Parquelândia,848253.0
26,749339751,Casas,0.0,160,4,5 ou mais,2,Fortaleza,Parquelândia,650000.0
27,977215742,Casas,0.0,507,5 ou mais,5 ou mais,5 ou mais,Fortaleza,Parque Araxá,2500000.0
28,763610068,Casas,0.0,500,4,4,5 ou mais,Fortaleza,Parquelândia,1500000.0
29,952615414,Apartamentos,1050.0,111,3,2,1,Fortaleza,Parquelândia,279000.0
30,970207497,Casas,0.0,180,4,3,2,Fortaleza,Parquelândia,20000.0
31,903162763,Apartamentos,485.0,94,3,4,2,Fortaleza,Parquelândia,750000.0
32,914170156,Casas,0.0,365,5 ou mais,5 ou mais,5 ou mais,Fortaleza,Amadeu Furtado,900000.0
33,952954764,Apartamentos,1000.0,110,3,2,1,Fortaleza,Parquelândia,298000.0
34,900201372,Apartamentos,0.0,82,2,2,2,Fortaleza,Parquelândia,530000.0
35,821659826,Casas,0.0,907,5 ou mais,5 ou mais,5 ou mais,Fortaleza,Parquelândia,2800000.0
36,931339913,Casas,0.0,0,2,3,2,Fortaleza,Amadeu Furtado,0.0
37,892505231,Apartamentos,900.0,150,4,4,2,Fortaleza,Parquelândia,420000.0
38,976929913,Apartamentos,0.0,100,3,3,2,Fortaleza,Parquelândia,600000.0
39,833340905,Apartamentos,0.0,204,5 ou mais,,,Fortaleza,Parquelândia,1700000.0
40,892087034,Apartamentos,0.0,63,3,2,0,Fortaleza,Amadeu Furtado,2000000.0
41,941312831,Apartamentos,0.0,151,4,4,3,Fortaleza,Parquelândia,995000.0
42,976833636,Casas,0.0,170,3,2,2,Fortaleza,Amadeu Furtado,150000.0
43,902604224,Apartamentos,0.0,90,3,2,1,Fortaleza,Amadeu Furtado,250000.0
