,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,964966504,Apartamentos,0.0,68,3,2,2,Fortaleza,Parreão,370000.0
1,941849683,Apartamentos,502.0,82,3,3,1,Fortaleza,Parreão,260000.0
2,930210479,Apartamentos,650.0,170,4,3,2,Fortaleza,Parreão,370000.0
3,956186381,Casas,0.0,190,4,5 ou mais,2,Fortaleza,Parreão,550000.0
4,977369772,Apartamentos,810.0,120,3,3,2,Fortaleza,Parreão,390000.0
5,977153455,Casas,0.0,85,3,2,3,Fortaleza,Parreão,520000.0
6,942081673,Apartamentos,390.0,64,2,2,1,Fortaleza,Parreão,245000.0
7,926059631,Apartamentos,310.0,110,3,4,2,Fortaleza,Parreão,285000.0
8,976736856,Casas,0.0,300,4,3,2,Fortaleza,Parreão,450000.0
9,976736850,Casas,0.0,160,4,3,3,Fortaleza,Parreão,520000.0
10,949625743,Apartamentos,0.0,64,3,1,1,Fortaleza,Parreão,240000.0
11,947402645,Apartamentos,390.0,64,3,1,1,Fortaleza,Parreão,245000.0
12,976597829,Apartamentos,200.0,75,3,1,2,Fortaleza,Parreão,195000.0
13,928979883,Apartamentos,650.0,117,4,3,2,Fortaleza,Parreão,370000.0
14,938939210,Apartamentos,470.0,150,4,4,2,Fortaleza,Parreão,550000.0
15,976231476,Casas,0.0,136,3,5 ou mais,3,Fortaleza,Parreão,0.0
16,941630354,Apartamentos,400.0,80,2,2,1,Fortaleza,Parreão,230000.0
17,935031875,Apartamentos,780.0,59,2,2,1,Fortaleza,Parreão,215000.0
18,947886156,Apartamentos,530.0,81,3,3,1,Fortaleza,Parreão,248000.0
19,942673667,Apartamentos,380.0,80,2,2,1,Fortaleza,Parreão,230000.0
20,761927170,Apartamentos,0.0,100,3,2,2,Fortaleza,Parreão,200000.0
21,975302305,Casas,0.0,0,3,1,,Fortaleza,Parreão,0.0
22,683164428,Casas,0.0,220,4,3,4,Fortaleza,Jardim América,850000.0
23,936416991,Apartamentos,560.0,83,3,2,1,Fortaleza,Parreão,210000.0
24,960662967,Casas,0.0,200,3,2,3,Fortaleza,Parreão,520000.0
25,966132087,Apartamentos,626.0,65,3,2,2,Fortaleza,Parreão,199999.0
26,825250616,Apartamentos,700.0,106,3,3,1,Fortaleza,Parreão,350000.0
27,931451256,Apartamentos,459.0,112,3,3,2,Fortaleza,Parreão,300000.0
28,933822672,Apartamentos,486.0,58,2,2,,Fortaleza,Parreão,330000.0
29,907565779,Apartamentos,620.0,63,3,1,2,Fortaleza,Parreão,270000.0
30,907568588,Apartamentos,760.0,132,3,1,2,Fortaleza,Parreão,450000.0
31,973624772,Casas,0.0,136,3,5 ou mais,3,Fortaleza,Parreão,0.0
32,919711395,Apartamentos,700.0,83,2,2,1,Fortaleza,Parreão,220000.0
33,960224154,Apartamentos,420.0,82,3,3,1,Fortaleza,Parreão,200000.0
34,954220776,Apartamentos,700.0,112,3,2,2,Fortaleza,Parreão,339000.0
35,953547127,Apartamentos,850.0,120,3,2,2,Fortaleza,Parreão,390000.0
36,972298112,Apartamentos,450.0,82,3,2,1,Fortaleza,Parreão,299000.0
37,972297721,Apartamentos,450.0,82,3,3,1,Fortaleza,Parreão,199000.0
38,972297501,Apartamentos,650.0,163,4,3,2,Fortaleza,Parreão,350000.0
39,972297220,Apartamentos,810.0,106,3,3,1,Fortaleza,Parreão,350000.0
40,972297063,Apartamentos,705.0,60,2,2,1,Fortaleza,Parreão,315000.0
41,931187751,Apartamentos,810.0,80,3,3,2,Fortaleza,Parreão,330000.0
42,971265274,Apartamentos,200.0,75,3,1,2,Fortaleza,Parreão,0.0
43,958176830,Apartamentos,780.0,60,2,2,2,Fortaleza,Parreão,290000.0
44,886839652,Apartamentos,870.0,135,4,2,2,Fortaleza,Parreão,370000.0
45,907566094,Apartamentos,850.0,132,3,3,2,Fortaleza,Parreão,450000.0
46,907568999,Casas,0.0,1800,5 ou mais,5 ou mais,5 ou mais,Fortaleza,Parreão,2700000.0
47,942712132,Apartamentos,390.0,82,2,1,1,Fortaleza,Parreão,180000.0
48,922046267,Casas,0.0,370,4,5 ou mais,4,Fortaleza,Parreão,1200000.0
49,970629579,Casas,0.0,150,5 ou mais,4,3,Fortaleza,Parreão,520000.0
50,879955810,Casas,0.0,300,5 ou mais,4,5 ou mais,Fortaleza,Parreão,899900.0
51,907565718,Apartamentos,620.0,63,3,1,2,Fortaleza,Parreão,265000.0
52,888809107,Apartamentos,330.0,140,3,2,2,Fortaleza,Parreão,220000.0
53,940701911,Casas,0.0,140,3,2,0,Fortaleza,Parreão,350000.0
54,904307219,Apartamentos,420.0,83,3,2,1,Fortaleza,Parreão,195000.0
55,934102156,Casas,0.0,400,4,3,3,Fortaleza,Parreão,1000000.0
56,968043993,Apartamentos,200.0,75,3,1,2,Fortaleza,Parreão,0.0
57,967691136,Casas,0.0,136,3,5 ou mais,3,Fortaleza,Parreão,335000.0
58,967364436,Casas,0.0,172,4,2,1,Fortaleza,Parreão,400000.0
59,907568426,Casas,0.0,180,4,2,1,Fortaleza,Parreão,300000.0
60,948930987,Casas,0.0,182,4,4,0,Fortaleza,Parreão,550000.0
61,832600579,Casas,0.0,150,3,3,0,Fortaleza,Parreão,300000.0
62,929318584,Apartamentos,600.0,66,2,2,1,Fortaleza,Parreão,230000.0
63,965695818,Apartamentos,630.0,82,2,2,2,Fortaleza,Parreão,415000.0
64,965441630,Casas,1.0,595,3,3,5 ou mais,Fortaleza,Parreão,800000.0
65,888809806,Apartamentos,700.0,60,2,2,1,Fortaleza,Parreão,290000.0
66,907567143,Apartamentos,450.0,82,3,1,2,Fortaleza,Parreão,270000.0
67,923211575,Apartamentos,460.0,82,3,3,2,Fortaleza,Parreão,250000.0
68,726061137,Apartamentos,480.0,173,4,3,3,Fortaleza,Parreão,490000.0
69,963325895,Apartamentos,200.0,75,3,1,2,Fortaleza,Parreão,195000.0
70,963035182,Casas,0.0,110,2,1,2,Fortaleza,Parreão,140000.0
71,907567634,Apartamentos,670.0,120,3,1,2,Fortaleza,Parreão,420000.0
72,913272833,Apartamentos,390.0,84,3,3,1,Fortaleza,Parreão,184000.0
73,960691992,Casas,0.0,100,2,2,2,Fortaleza,Parreão,500000.0
74,787630833,Apartamentos,0.0,0,3,2,2,Fortaleza,Parreão,275000.0
75,955770391,Casas,0.0,131,3,2,3,Fortaleza,Parreão,250000.0
76,955525561,Apartamentos,820.0,110,3,2,1,Fortaleza,Parreão,0.0
77,942400037,Apartamentos,813.0,130,3,3,2,Fortaleza,Parreão,520000.0
78,820983464,Apartamentos,390.0,83,2,2,1,Fortaleza,Parreão,200000.0
79,937984376,Apartamentos,486.0,58,2,2,1,Fortaleza,Parreão,330000.0
80,930947632,Apartamentos,315.0,47,2,1,1,Fortaleza,Jardim América,167000.0
81,917703956,Apartamentos,0.0,70,3,3,1,Fortaleza,Parreão,210000.0
82,911670804,Apartamentos,780.0,60,2,2,1,Fortaleza,Parreão,290000.0
83,911601266,Apartamentos,450.0,83,3,2,2,Fortaleza,Parreão,275000.0
84,911263618,Apartamentos,780.0,59,2,2,1,Fortaleza,Parreão,230000.0
85,908379489,Apartamentos,800.0,132,3,3,2,Fortaleza,Parreão,465000.0
86,907850824,Apartamentos,780.0,60,2,2,1,Fortaleza,Parreão,230000.0
87,906871656,Apartamentos,650.0,107,3,3,2,Fortaleza,Parreão,430000.0
88,904336951,Apartamentos,800.0,132,4,,2,Fortaleza,Parreão,465000.0
89,736681654,Apartamentos,560.0,83,3,2,1,Fortaleza,Parreão,210000.0
90,884741778,Apartamentos,391.0,82,3,2,1,Fortaleza,Parreão,169990.0
91,880624725,Apartamentos,480.0,70,3,,,Fortaleza,Parreão,350000.0
92,775980050,Casas,0.0,130,2,2,,Fortaleza,Parreão,230000.0
93,757809220,Apartamentos,630.0,107,3,3,2,Fortaleza,Parreão,390000.0
94,709592145,Apartamentos,370.0,111,3,2,2,Fortaleza,Parreão,250000.0
95,702373280,Apartamentos,390.0,82,3,2,1,Fortaleza,Parreão,265000.0
96,684884980,Apartamentos,380.0,81,3,3,2,Fortaleza,Parreão,250000.0
97,675635586,Apartamentos,450.0,70,3,2,2,Fortaleza,Parreão,279000.0
98,672864208,Apartamentos,460.0,83,3,3,1,Fortaleza,Parreão,170000.0
99,660360225,Apartamentos,700.0,60,2,2,2,Fortaleza,Parreão,285000.0
100,576311924,Apartamentos,390.0,82,3,3,2,Fortaleza,Parreão,200000.0
101,567888262,Apartamentos,350.0,82,3,0,1,Fortaleza,Parreão,280000.0
102,567888236,Apartamentos,200.0,97,3,3,2,Fortaleza,Parreão,275000.0
103,567884124,Apartamentos,350.0,82,3,2,1,Fortaleza,Parreão,280000.0
