,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,950167648,Apartamentos,0.0,50,2,1,1,Fortaleza,Itaperi,150000.0
1,934698625,Casas,0.0,280,5 ou mais,5 ou mais,2,Fortaleza,Parque Dois Irmãos,160000.0
2,942002011,Apartamentos,300.0,63,3,2,1,Fortaleza,Parque Dois Irmãos,280000.0
3,969273747,Apartamentos,0.0,58,3,2,2,Fortaleza,Passaré,278335.0
4,964296147,Casas,0.0,58,3,1,2,Fortaleza,Passaré,215000.0
5,876980259,Apartamentos,0.0,47,2,1,1,Fortaleza,Passaré,176900.0
6,950392403,Casas,0.0,80,2,3,1,Fortaleza,Passaré,225000.0
7,977599816,Casas,0.0,0,1,,,Fortaleza,Parque Dois Irmãos,20000.0
8,950665601,Apartamentos,290.0,46,2,2,1,Fortaleza,Passaré,190000.0
9,969272382,Apartamentos,0.0,48,2,2,1,Fortaleza,Passaré,220488.0
10,942002065,Apartamentos,225.0,55,2,2,1,Fortaleza,Passaré,170000.0
11,942002073,Apartamentos,458.0,65,3,2,2,Fortaleza,Passaré,250000.0
12,977582642,Apartamentos,190.0,42,2,1,0,Fortaleza,Parque 2 Irmãos,120000.0
13,947585686,Apartamentos,0.0,63,3,1,1,Fortaleza,Parque Dois Irmãos,340000.0
14,977580264,Casas,0.0,180,3,2,2,Fortaleza,Passaré,80000.0
15,969237119,Casas,220.0,130,3,2,2,Fortaleza,Passaré,345000.0
16,970513669,Apartamentos,500.0,63,3,2,2,Fortaleza,Passaré,214999.0
17,951356834,Apartamentos,380.0,75,3,2,1,Fortaleza,Passaré,210000.0
18,969494739,Apartamentos,369.0,63,3,2,1,Fortaleza,Passaré,325000.0
19,776249105,Casas,0.0,501,4,5 ou mais,5 ou mais,Fortaleza,Passaré,1999999.0
20,950410245,Apartamentos,210.0,54,3,2,2,Fortaleza,Passaré,209000.0
21,909177505,Apartamentos,0.0,44,2,1,1,Fortaleza,Passaré,190090.0
22,977529579,Casas,330.0,156,3,3,3,Fortaleza,Passaré,380000.0
23,977524658,Apartamentos,400.0,63,3,2,2,Fortaleza,Passaré,340000.0
24,892129332,Apartamentos,0.0,46,2,2,1,Fortaleza,Passaré,185000.0
25,926544927,Casas,0.0,150,4,5 ou mais,4,Fortaleza,Passaré,599000.0
26,945580500,Casas,0.0,160,3,3,2,Fortaleza,Parque Dois Irmãos,220000.0
27,935966385,Apartamentos,0.0,43,2,1,1,Fortaleza,Parque Dois Irmãos,153000.0
28,942002016,Apartamentos,450.0,72,3,2,2,Fortaleza,Passaré,360000.0
29,977501530,Casas,0.0,110,3,4,2,Fortaleza,Passaré,430000.0
30,941634115,Apartamentos,290.0,76,3,2,2,Fortaleza,Passaré,220000.0
31,911995009,Casas,180.0,53,3,2,2,Fortaleza,Prefeito José Walter,206500.0
32,950665494,Casas,500.0,100,4,2,2,Fortaleza,Passaré,350000.0
33,962933527,Apartamentos,350.0,54,2,2,1,Fortaleza,Passaré,315000.0
34,909963347,Casas,500.0,79,3,2,2,Fortaleza,Passaré,275000.0
35,959995520,Apartamentos,200.0,78,3,2,1,Fortaleza,Passaré,165000.0
36,917471733,Apartamentos,0.0,60,2,1,,Fortaleza,Parque Dois Irmãos,295000.0
37,964795774,Casas,0.0,500,5 ou mais,5 ou mais,4,Fortaleza,Passaré,1050000.0
38,919850941,Casas,350.0,65,3,2,1,Fortaleza,Passaré,220000.0
39,971759929,Casas,250.0,59,2,2,2,Fortaleza,Prefeito José Walter,235000.0
40,914169914,Casas,330.0,157,4,3,3,Fortaleza,Passaré,350000.0
41,807784035,Casas,330.0,182,4,3,3,Fortaleza,Passaré,349000.0
42,946433777,Apartamentos,0.0,44,2,1,1,Fortaleza,Passaré,189490.0
