,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,946635145,Apartamentos,220.0,48,2,2,1,Fortaleza,Paupina,165000.0
1,950722486,Apartamentos,640.0,80,3,3,2,Fortaleza,Paupina,650000.0
2,977600394,Casas,0.0,60,2,2,1,Fortaleza,Paupina,225000.0
3,970513676,Casas,0.0,107,3,3,2,Fortaleza,São Bento,365000.0
4,949164048,Casas,0.0,104,3,3,2,Fortaleza,São Bento,335000.0
5,925185116,Casas,0.0,107,3,2,3,Fortaleza,São Bento,355000.0
6,977530025,Apartamentos,304.0,42,2,1,1,Fortaleza,Paupina,160000.0
7,977529573,Casas,0.0,90,3,3,3,Fortaleza,São Bento,295000.0
8,977519095,Apartamentos,0.0,47,2,2,1,Fortaleza,Paupina,175284.0
9,977519087,Apartamentos,0.0,51,2,2,1,Fortaleza,Paupina,175284.0
10,946228163,Casas,0.0,145,3,3,2,Fortaleza,Coaçu,365000.0
11,946587823,Casas,0.0,106,3,3,2,Fortaleza,São Bento,275000.0
12,943670914,Casas,0.0,106,3,1,5 ou mais,Fortaleza,São Bento,360000.0
13,974014011,Casas,0.0,140,3,4,2,Fortaleza,São Bento,415000.0
14,942001934,Casas,0.0,127,3,3,4,Fortaleza,São Bento,345000.0
15,967520930,Casas,0.0,140,3,4,2,Fortaleza,São Bento,415000.0
16,935198864,Casas,0.0,106,3,1,2,Fortaleza,São Bento,320000.0
17,938561328,Apartamentos,80.0,52,2,2,1,Fortaleza,Coaçu,149000.0
18,955432817,Casas,220.0,75,2,2,2,Fortaleza,Coaçu,320000.0
19,945754791,Casas,0.0,107,3,3,2,Fortaleza,São Bento,335000.0
20,949625966,Casas,0.0,178,3,3,3,Fortaleza,São Bento,360000.0
21,971780415,Casas,0.0,135,3,3,2,Fortaleza,São Bento,355000.0
22,977405664,Casas,0.0,130,3,3,3,Fortaleza,São Bento,355000.0
23,977405546,Casas,220.0,75,2,2,2,Fortaleza,Coaçu,350000.0
24,977405381,Casas,0.0,110,3,3,3,Fortaleza,São Bento,310000.0
25,955886349,Casas,0.0,144,3,4,2,Fortaleza,São Bento,450000.0
26,959072358,Apartamentos,0.0,71,3,1,1,Fortaleza,Coaçu,220000.0
27,942002091,Casas,0.0,147,3,4,3,Fortaleza,São Bento,415000.0
28,922145748,Apartamentos,348.0,52,3,2,2,Fortaleza,Paupina,210000.0
29,960603346,Casas,0.0,137,3,4,2,Fortaleza,São Bento,415000.0
30,937131919,Casas,0.0,125,3,3,3,Fortaleza,São Bento,350000.0
31,964562457,Casas,0.0,91,3,3,3,Fortaleza,São Bento,355000.0
32,977254139,Casas,0.0,0,3,3,,Fortaleza,São Bento,395008.0
33,977253482,Casas,0.0,0,3,3,,Fortaleza,São Bento,340006.0
34,977253002,Casas,0.0,0,3,3,,Fortaleza,São Bento,338009.0
35,977252668,Casas,0.0,0,2,2,,Fortaleza,São Bento,290007.0
36,977252150,Casas,0.0,0,2,2,,Fortaleza,São Bento,85000.0
37,977199680,Casas,0.0,107,3,3,3,Fortaleza,São Bento,329000.0
38,886591804,Apartamentos,268.0,42,2,1,1,Fortaleza,Paupina,150000.0
39,826225690,Casas,0.0,105,3,3,3,Fortaleza,São Bento,349986.0
40,977171845,Apartamentos,0.0,47,2,1,1,Fortaleza,Coaçu,159000.0
41,909177386,Apartamentos,0.0,41,2,1,1,Fortaleza,Paupina,157900.0
42,950707294,Casas,0.0,145,3,4,2,Fortaleza,Coaçu,415000.0
43,969912453,Casas,0.0,111,3,3,4,Fortaleza,São Bento,365000.0
44,949919612,Casas,0.0,133,3,3,2,Fortaleza,Coaçu,390000.0
45,914710383,Apartamentos,400.0,56,2,1,1,Fortaleza,Paupina,151500.0
46,937686629,Casas,0.0,140,3,4,3,Fortaleza,São Bento,415000.0
47,952654738,Casas,0.0,125,3,3,2,Fortaleza,São Bento,350000.0
48,974021238,Casas,0.0,114,3,3,3,Fortaleza,São Bento,350000.0
49,970001077,Casas,0.0,102,3,3,3,Fortaleza,São Bento,335000.0
50,947060303,Apartamentos,400.0,58,3,2,1,Fortaleza,Paupina,200000.0
51,952226067,Casas,0.0,135,3,3,3,Fortaleza,São Bento,355000.0
52,977058308,Casas,0.0,111,3,3,0,Fortaleza,São Bento,349000.0
53,977058284,Casas,0.0,104,3,3,2,Fortaleza,São Bento,360000.0
54,977058269,Casas,0.0,103,3,3,2,Fortaleza,São Bento,335000.0
55,977058264,Casas,0.0,111,3,3,2,Fortaleza,São Bento,355000.0
56,977045562,Apartamentos,0.0,43,2,1,1,Fortaleza,Paupina,64999.0
57,909177550,Apartamentos,0.0,52,2,2,1,Fortaleza,Paupina,173284.0
58,976992848,Casas,0.0,112,3,3,3,Fortaleza,São Bento,370000.0
59,912338070,Casas,0.0,107,3,3,3,Fortaleza,São Bento,355000.0
60,909181927,Casas,0.0,105,3,3,2,Fortaleza,São Bento,335000.0
61,942002047,Casas,0.0,97,2,3,2,Fortaleza,São Bento,230000.0
62,976904256,Apartamentos,240.0,48,2,2,1,Fortaleza,Paupina,178000.0
63,976899864,Casas,0.0,107,3,3,3,Fortaleza,São Bento,355000.0
64,976898274,Casas,0.0,125,3,3,2,Fortaleza,São Bento,355000.0
65,952719256,Casas,0.0,105,3,3,2,Fortaleza,São Bento,345000.0
66,821207152,Casas,0.0,134,3,3,3,Fortaleza,São Bento,345005.0
67,971780446,Casas,0.0,107,3,3,3,Fortaleza,São Bento,355000.0
68,946496759,Casas,0.0,130,4,4,2,Fortaleza,Coaçu,395000.0
69,970513721,Casas,0.0,105,3,3,3,Fortaleza,São Bento,345000.0
70,927042028,Apartamentos,306.0,42,2,1,1,Fortaleza,Paupina,145000.0
71,961183356,Casas,0.0,94,2,2,0,Fortaleza,Coaçu,220000.0
72,966309759,Apartamentos,180.0,61,3,2,1,Fortaleza,Coaçu,190000.0
73,976649724,Casas,0.0,103,3,3,2,Fortaleza,São Bento,338000.0
74,945860156,Casas,0.0,107,3,3,0,Fortaleza,São Bento,335000.0
75,896438719,Casas,0.0,150,3,4,3,Fortaleza,São Bento,415000.0
76,953620681,Casas,0.0,103,3,2,3,Fortaleza,São Bento,365000.0
77,716461503,Casas,0.0,138,3,4,3,Fortaleza,São Bento,415006.0
78,950362905,Apartamentos,195.0,48,2,2,1,Fortaleza,Paupina,174500.0
79,910284751,Casas,0.0,135,3,3,3,Fortaleza,São Bento,355000.0
80,936416376,Apartamentos,0.0,42,2,1,1,Fortaleza,Paupina,153900.0
81,912025813,Apartamentos,350.0,48,3,1,1,Fortaleza,Paupina,175000.0
82,898266740,Casas,441.0,94,3,3,2,Fortaleza,Coaçu,443000.0
83,969997405,Casas,0.0,150,3,3,4,Fortaleza,São Bento,415000.0
84,940110618,Casas,0.0,60,2,1,1,Fortaleza,São Bento,155000.0
85,949739460,Apartamentos,219.0,44,2,1,1,Fortaleza,Paupina,188000.0
86,950446614,Casas,0.0,107,3,3,3,Fortaleza,São Bento,345000.0
87,964433023,Casas,0.0,231,2,2,2,Fortaleza,São Bento,115000.0
88,976247042,Apartamentos,250.0,48,2,2,1,Fortaleza,Paupina,179000.0
89,957809585,Casas,0.0,197,3,3,2,Fortaleza,São Bento,380000.0
90,931156411,Apartamentos,200.0,47,2,2,1,Fortaleza,Paupina,173284.0
91,949669161,Apartamentos,265.0,48,2,1,1,Fortaleza,Paupina,179999.0
92,976200461,Casas,0.0,240,3,2,2,Fortaleza,Paupina,170000.0
93,949353382,Apartamentos,240.0,42,2,1,1,Fortaleza,Paupina,145000.0
94,976195805,Casas,0.0,120,2,1,1,Fortaleza,São Bento,110000.0
95,976193728,Casas,0.0,120,3,2,2,Fortaleza,Coaçu,18000.0
96,976178408,Apartamentos,60.0,20,2,1,1,Fortaleza,Paupina,40000.0
97,816381473,Casas,0.0,0,3,3,3,Fortaleza,São Bento,350003.0
98,976139725,Apartamentos,250.0,48,2,2,1,Fortaleza,Paupina,179000.0
99,976067155,Casas,0.0,140,3,4,3,Fortaleza,São Bento,415000.0
100,885829883,Apartamentos,0.0,47,2,2,1,Fortaleza,Paupina,173284.0
101,976013107,Apartamentos,0.0,0,2,1,1,Fortaleza,Paupina,20000.0
102,894336546,Casas,0.0,102,3,3,3,Fortaleza,São Bento,320000.0
103,911612186,Casas,0.0,142,3,4,3,Fortaleza,São Bento,415000.0
104,975905598,Apartamentos,230.0,44,2,1,1,Fortaleza,Paupina,178000.0
105,950362380,Casas,0.0,97,3,2,3,Fortaleza,São Bento,320000.0
106,975802778,Apartamentos,250.0,48,3,1,1,Fortaleza,Paupina,250000.0
107,949164179,Casas,0.0,135,3,3,2,Fortaleza,São Bento,345000.0
108,935198750,Casas,0.0,107,3,3,2,Fortaleza,São Bento,365000.0
109,907569137,Apartamentos,242.0,50,2,1,1,Fortaleza,Paupina,145000.0
110,896318718,Apartamentos,240.0,49,2,2,1,Fortaleza,Paupina,190000.0
111,855771044,Apartamentos,0.0,47,2,2,1,Fortaleza,Paupina,168214.0
112,940455949,Apartamentos,100.0,55,2,2,2,Fortaleza,Coaçu,160000.0
113,975702014,Casas,0.0,150,3,2,2,Fortaleza,Coaçu,25000.0
114,949163814,Casas,0.0,125,3,3,2,Fortaleza,São Bento,345000.0
115,949160946,Casas,0.0,135,3,3,2,Fortaleza,São Bento,345000.0
116,961432520,Apartamentos,189.0,42,2,1,1,Fortaleza,Paupina,167000.0
117,969163386,Apartamentos,378.0,60,2,2,1,Fortaleza,Paupina,199000.0
118,956226492,Apartamentos,170.0,52,2,2,1,Fortaleza,Coaçu,165000.0
119,916608617,Apartamentos,0.0,52,2,2,1,Fortaleza,Paupina,173284.0
120,964426868,Casas,0.0,140,3,4,3,Fortaleza,São Bento,415000.0
121,946433995,Apartamentos,0.0,41,2,1,1,Fortaleza,Paupina,166490.0
122,950455483,Casas,0.0,105,3,3,3,Fortaleza,São Bento,345000.0
123,975552215,Casas,0.0,105,3,3,2,Fortaleza,São Bento,365000.0
124,938294041,Casas,0.0,111,3,3,3,Fortaleza,São Bento,350000.0
125,946857695,Casas,0.0,105,3,3,2,Fortaleza,São Bento,340000.0
126,949669076,Casas,0.0,128,3,3,0,Fortaleza,Coaçu,390000.0
127,960814894,Apartamentos,100.0,52,2,2,2,Fortaleza,Coaçu,160000.0
128,941509057,Apartamentos,250.0,45,2,1,1,Fortaleza,Paupina,150000.0
129,962930663,Apartamentos,177.0,46,2,1,1,Fortaleza,Coaçu,168000.0
130,937913716,Casas,0.0,250,3,4,3,Fortaleza,Coaçu,450000.0
131,950362684,Casas,0.0,92,3,3,2,Fortaleza,São Bento,320000.0
132,971780410,Casas,0.0,138,3,4,3,Fortaleza,São Bento,415000.0
133,975299510,Casas,0.0,126,2,2,1,Fortaleza,São Bento,170000.0
134,960845644,Casas,0.0,111,3,3,4,Fortaleza,São Bento,350000.0
135,946858121,Casas,0.0,96,3,3,2,Fortaleza,São Bento,309000.0
136,896438664,Casas,0.0,102,3,3,2,Fortaleza,São Bento,355000.0
137,898266979,Casas,0.0,150,3,4,2,Fortaleza,São Bento,415000.0
138,975254546,Apartamentos,0.0,0,2,2,1,Fortaleza,Paupina,180000.0
139,854770676,Casas,0.0,135,3,3,2,Fortaleza,São Bento,345004.0
140,935538558,Casas,0.0,107,3,3,3,Fortaleza,São Bento,350000.0
141,954922788,Apartamentos,285.0,42,2,1,1,Fortaleza,Paupina,170000.0
142,955884164,Casas,0.0,140,3,4,2,Fortaleza,São Bento,430000.0
143,975158614,Apartamentos,60.0,0,2,1,1,Fortaleza,Paupina,45000.0
144,945912021,Casas,0.0,320,3,2,4,Fortaleza,Coaçu,450000.0
145,940454187,Casas,0.0,135,3,3,3,Fortaleza,São Bento,365000.0
146,975098158,Apartamentos,0.0,62,2,1,,Fortaleza,São Bento,55000.0
147,975091767,Apartamentos,0.0,48,2,2,1,Fortaleza,Paupina,175284.0
148,929707954,Casas,0.0,102,3,3,2,Fortaleza,São Bento,345000.0
149,973833336,Casas,0.0,107,3,3,2,Fortaleza,São Bento,365000.0
150,962076786,Apartamentos,0.0,47,2,2,1,Fortaleza,Paupina,175000.0
151,764398356,Apartamentos,271.0,48,2,1,0,Fortaleza,Paupina,170000.0
152,963361621,Apartamentos,189.0,42,2,1,1,Fortaleza,Paupina,167000.0
153,944443019,Casas,0.0,100,3,3,2,Fortaleza,São Bento,320000.0
154,964957498,Apartamentos,170.0,48,2,1,1,Fortaleza,Coaçu,135000.0
155,774523301,Apartamentos,0.0,48,2,2,1,Fortaleza,Paupina,175284.0
156,946763792,Apartamentos,0.0,55,2,2,1,Fortaleza,Coaçu,160000.0
157,949856117,Casas,0.0,111,3,4,4,Fortaleza,São Bento,365000.0
158,946569772,Casas,0.0,105,3,3,2,Fortaleza,São Bento,340000.0
159,958176890,Casas,0.0,102,3,3,3,Fortaleza,São Bento,375000.0
160,709994770,Apartamentos,174.0,49,2,1,1,Fortaleza,Coaçu,155000.0
161,925185109,Casas,0.0,103,3,3,2,Fortaleza,São Bento,370000.0
162,952732214,Casas,0.0,118,3,3,2,Fortaleza,São Bento,370000.0
163,947402877,Casas,0.0,110,3,3,2,Fortaleza,São Bento,355000.0
164,964333447,Casas,0.0,103,3,2,2,Fortaleza,São Bento,327000.0
165,934621929,Casas,630.0,95,3,,2,Fortaleza,Coaçu,370000.0
