,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,970453112,Casas,0.0,0,2,1,,Fortaleza,Pici,30000.0
1,892505632,Apartamentos,932.0,77,3,4,2,Fortaleza,Pici,500000.0
2,916735476,Casas,0.0,175,3,3,3,Fortaleza,Pici,430000.0
3,969609069,Apartamentos,344.0,74,3,3,2,Fortaleza,Padre Andrade,630000.0
4,969571631,Casas,0.0,43,2,2,,Fortaleza,Pici,80000.0
5,969526860,Casas,0.0,0,3,3,2,Fortaleza,Pici,185000.0
6,950429279,Apartamentos,550.0,82,3,3,2,Fortaleza,Pici,500000.0
7,952359364,Apartamentos,500.0,84,3,1,2,Fortaleza,Pici,680000.0
8,968320808,Casas,0.0,0,3,2,2,Fortaleza,Pici,185000.0
9,968251614,Casas,0.0,150,1,1,0,Fortaleza,Pici,75000.0
10,968089521,Casas,0.0,0,3,3,1,Fortaleza,Pici,120000.0
11,907568226,Apartamentos,400.0,74,3,2,1,Fortaleza,Padre Andrade,260000.0
12,967558997,Apartamentos,0.0,45,2,1,0,Fortaleza,Pici,60000.0
13,966713832,Casas,0.0,8,2,2,0,Fortaleza,Pici,90000.0
14,955796065,Apartamentos,450.0,74,3,2,1,Fortaleza,Padre Andrade,260000.0
15,965481250,Apartamentos,65.0,0,2,1,1,Fortaleza,Pici,50000.0
16,929368711,Casas,0.0,177,3,1,1,Fortaleza,Padre Andrade,350000.0
17,846464311,Apartamentos,0.0,60,2,2,1,Fortaleza,Padre Andrade,150000.0
18,964864666,Apartamentos,0.0,45,2,1,0,Fortaleza,Pici,60000.0
19,912327474,Casas,0.0,125,2,2,2,Fortaleza,Pici,0.0
20,944338802,Apartamentos,553.0,82,3,3,2,Fortaleza,Pici,429000.0
21,963322987,Casas,1.0,14,2,3,0,Fortaleza,Pici,50000.0
22,669245650,Apartamentos,550.0,89,3,2,2,Fortaleza,Pici,680000.0
23,933048615,Apartamentos,500.0,8465,3,3,2,Fortaleza,Pici,650000.0
24,920791246,Casas,0.0,300,5 ou mais,3,4,Fortaleza,Padre Andrade,1200000.0
25,962158969,Casas,0.0,0,2,2,,Fortaleza,Pici,0.0
26,961923473,Casas,0.0,0,4,2,1,Fortaleza,Pici,130000.0
27,961609573,Apartamentos,65.0,0,2,1,1,Fortaleza,Pici,65000.0
28,961208613,Casas,0.0,0,2,2,5 ou mais,Fortaleza,Pici,90000.0
29,960875288,Apartamentos,0.0,0,2,1,,Fortaleza,Pici,35000.0
30,960800988,Casas,0.0,0,3,1,3,Fortaleza,Pici,225000.0
31,960586462,Casas,0.0,0,4,4,,Fortaleza,Padre Andrade,350000.0
32,960228945,Casas,0.0,0,4,3,1,Fortaleza,Pici,180000.0
33,959795467,Apartamentos,0.0,0,2,1,,Fortaleza,Pici,110000.0
34,959445089,Casas,0.0,900,2,3,2,Fortaleza,Pici,69900.0
35,958841729,Casas,0.0,63,2,2,,Fortaleza,Pici,140000.0
36,958792190,Casas,0.0,81000,2,2,3,Fortaleza,Pici,180000.0
37,902209270,Apartamentos,527.0,78,3,3,2,Fortaleza,Pici,480000.0
38,957161807,Casas,0.0,0,2,1,,Fortaleza,Pici,30000.0
39,956743851,Casas,0.0,25,1,1,0,Fortaleza,Pici,0.0
40,955657966,Casas,0.0,22,4,5 ou mais,1,Fortaleza,Pici,120000.0
41,955071606,Casas,0.0,81000,2,2,3,Fortaleza,Pici,150000.0
42,954984486,Casas,0.0,0,2,3,3,Fortaleza,Pici,100000.0
43,886416419,Casas,0.0,350,5 ou mais,2,5 ou mais,Fortaleza,Padre Andrade,850000.0
44,916194030,Apartamentos,327.0,79,3,2,2,Fortaleza,Pici,230000.0
