,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,970719682,Apartamentos,1350.0,147,3,3,2,Fortaleza,Meireles,2500000.0
1,967657240,Apartamentos,0.0,543,4,5 ou mais,5 ou mais,Fortaleza,Meireles,12000000.0
2,961628433,Apartamentos,1000.0,164,4,5 ou mais,3,Fortaleza,Praia de Iracema,1600000.0
3,942103391,Apartamentos,1300.0,36,1,1,1,Fortaleza,Meireles,498000.0
4,955922035,Apartamentos,558.0,66,2,2,1,Fortaleza,Meireles,950000.0
5,891278805,Apartamentos,1905.0,185,3,,3,Fortaleza,Praia de Iracema,850000.0
6,920348972,Apartamentos,1400.0,141,3,4,2,Fortaleza,Meireles,1800000.0
7,955433871,Apartamentos,450.0,63,2,2,1,Fortaleza,Praia de Iracema,360000.0
8,929880090,Apartamentos,400.0,63,2,1,1,Fortaleza,Praia de Iracema,360000.0
9,914802324,Apartamentos,330.0,81,3,2,2,Fortaleza,Centro,830000.0
10,959973270,Apartamentos,0.0,70,2,2,1,Fortaleza,Meireles,496000.0
11,943546161,Apartamentos,3100.0,313,5 ou mais,5 ou mais,4,Fortaleza,Meireles,3000000.0
12,940100650,Apartamentos,1000.0,165,4,5 ou mais,3,Fortaleza,Praia de Iracema,1600000.0
13,973701286,Apartamentos,800.0,45,1,1,1,Fortaleza,Praia de Iracema,290000.0
14,956331759,Apartamentos,730.0,67,2,2,2,Fortaleza,Praia de Iracema,355000.0
15,959072176,Apartamentos,0.0,600,5 ou mais,5 ou mais,5 ou mais,Fortaleza,Meireles,8500000.0
16,962058857,Apartamentos,0.0,785,5 ou mais,5 ou mais,5 ou mais,Fortaleza,Meireles,14500000.0
17,956257485,Apartamentos,2450.0,300,4,5 ou mais,4,Fortaleza,Meireles,3600000.0
18,961594588,Apartamentos,1200.0,160,4,5 ou mais,4,Fortaleza,Praia de Iracema,1200000.0
19,956344489,Apartamentos,3400.0,370,4,5 ou mais,5 ou mais,Fortaleza,Meireles,3980000.0
20,977442616,Apartamentos,0.0,103,3,3,2,Fortaleza,Praia de Iracema,760000.0
21,977442601,Apartamentos,450.0,51,2,2,1,Fortaleza,Praia de Iracema,375000.0
22,977442602,Apartamentos,450.0,51,1,1,1,Fortaleza,Praia de Iracema,375000.0
23,842600779,Apartamentos,950.0,115,4,4,,Fortaleza,Centro,1089998.0
24,964178611,Apartamentos,0.0,253,4,5 ou mais,4,Fortaleza,Meireles,3700000.0
25,955426795,Apartamentos,488.0,69,2,2,1,Fortaleza,Meireles,420000.0
26,958173941,Apartamentos,2700.0,260,4,5 ou mais,4,Fortaleza,Meireles,2790000.0
27,970739748,Apartamentos,1250.0,67,2,3,1,Fortaleza,Meireles,1590000.0
28,940454599,Apartamentos,0.0,100,3,3,2,Fortaleza,Praia de Iracema,663000.0
29,714929675,Apartamentos,3200.0,277,4,5 ou mais,4,Fortaleza,Praia de Iracema,2500000.0
30,929592584,Apartamentos,2600.0,370,4,5 ou mais,5 ou mais,Fortaleza,Meireles,8000000.0
31,961452107,Apartamentos,4400.0,543,4,5 ou mais,5 ou mais,Fortaleza,Meireles,12000000.0
32,947642450,Apartamentos,1000.0,35,1,1,,Fortaleza,Praia de Iracema,215000.0
33,967283131,Apartamentos,488.0,66,2,2,1,Fortaleza,Praia de Iracema,425000.0
34,971780448,Apartamentos,2500.0,165,3,4,2,Fortaleza,Meireles,1700000.0
35,971780388,Apartamentos,1380.0,225,3,4,3,Fortaleza,Meireles,2500000.0
36,924123152,Apartamentos,5000.0,400,5 ou mais,5 ou mais,3,Fortaleza,Meireles,2800000.0
37,972275882,Apartamentos,0.0,148,3,4,2,Fortaleza,Meireles,2500000.0
38,918458804,Apartamentos,330.0,163,3,2,2,Fortaleza,Centro,720000.0
39,954392681,Apartamentos,450.0,40,1,1,1,Fortaleza,Meireles,650000.0
40,940503516,Apartamentos,700.0,70,2,2,1,Fortaleza,Meireles,425000.0
41,937230432,Apartamentos,1100.0,163,4,5 ou mais,3,Fortaleza,Praia de Iracema,1798056.0
42,959973106,Apartamentos,580.0,70,2,3,2,Fortaleza,Centro,460000.0
43,972268025,Apartamentos,1360.0,147,3,3,2,Fortaleza,Meireles,2500000.0
44,972268036,Apartamentos,4400.0,543,4,5 ou mais,5 ou mais,Fortaleza,Meireles,12000000.0
45,912159476,Apartamentos,2250.0,231,4,4,3,Fortaleza,Praia de Iracema,1799000.0
46,940908693,Apartamentos,0.0,370,4,5 ou mais,4,Fortaleza,Meireles,6300000.0
