,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,977586557,Casas,0.0,180,3,2,1,Fortaleza,Planalto Ayrton Senna,185000.0
1,977581497,Apartamentos,0.0,0,2,2,,Fortaleza,Planalto Ayrton Senna,60000.0
2,949625824,Casas,200.0,56,3,2,2,Fortaleza,Planalto Ayrton Senna,210000.0
3,936778223,Casas,0.0,60,2,2,2,Fortaleza,Prefeito José Walter,185000.0
4,927569419,Apartamentos,0.0,42,2,2,5 ou mais,Fortaleza,Prefeito José Walter,0.0
5,938855038,Casas,0.0,60,2,2,2,Fortaleza,Prefeito José Walter,184999.0
6,636185434,Apartamentos,245.0,52,2,2,2,Fortaleza,Planalto Ayrton Senna,170900.0
7,931847472,Casas,0.0,200,3,1,1,Fortaleza,Prefeito José Walter,160000.0
8,969625285,Casas,0.0,220,3,3,2,Fortaleza,Prefeito José Walter,18000.0
9,969111973,Casas,0.0,81,3,3,3,Fortaleza,Planalto Ayrton Senna,265000.0
10,907569063,Casas,0.0,300,4,5 ou mais,4,Fortaleza,Prefeito José Walter,650000.0
11,969514674,Casas,200.0,80,3,2,2,Fortaleza,Planalto Ayrton Senna,200000.0
12,909177383,Apartamentos,274.0,53,2,2,2,Fortaleza,Planalto Ayrton Senna,160000.0
13,977200451,Apartamentos,220.0,45,2,1,1,Fortaleza,Planalto Ayrton Senna,150000.0
14,938116594,Apartamentos,250.0,44,2,1,2,Fortaleza,Planalto Ayrton Senna,120000.0
15,977135800,Apartamentos,350.0,52,2,1,1,Fortaleza,Prefeito José Walter,215000.0
16,960982852,Apartamentos,0.0,55,2,1,0,Fortaleza,Prefeito José Walter,68000.0
17,909331508,Apartamentos,250.0,52,2,2,1,Fortaleza,Planalto Ayrton Senna,165000.0
18,956907788,Casas,0.0,102,3,3,2,Fortaleza,Planalto Ayrton Senna,280000.0
19,977062707,Casas,0.0,728,3,2,,Fortaleza,Prefeito José Walter,130000.0
20,976983871,Casas,0.0,0,5 ou mais,4,2,Fortaleza,Prefeito José Walter,0.0
21,919292262,Casas,200.0,70,3,2,1,Fortaleza,Planalto Ayrton Senna,260000.0
22,976921114,Casas,0.0,100000,2,3,2,Fortaleza,Planalto Ayrton Senna,170000.0
23,925476125,Casas,0.0,105,3,3,2,Fortaleza,Prefeito José Walter,189900.0
24,972299817,Casas,0.0,54,2,1,2,Fortaleza,Prefeito José Walter,198000.0
25,972761968,Casas,0.0,140,3,2,2,Fortaleza,Prefeito José Walter,21000.0
26,976834345,Casas,0.0,39,2,1,,Fortaleza,Planalto Ayrton Senna,25000.0
27,962516333,Casas,0.0,365,4,4,5 ou mais,Fortaleza,Prefeito José Walter,599000.0
28,976717006,Casas,0.0,0,3,2,1,Fortaleza,Planalto Ayrton Senna,150000.0
29,895347924,Casas,0.0,80,3,2,2,Fortaleza,Prefeito José Walter,115000.0
30,889962800,Apartamentos,237.0,48,2,1,1,Fortaleza,Prefeito José Walter,135000.0
31,976582960,Casas,0.0,80,2,1,1,Fortaleza,Prefeito José Walter,85000.0
32,976562564,Casas,0.0,0,2,1,1,Fortaleza,Prefeito José Walter,160000.0
33,949275643,Casas,0.0,160,3,3,2,Fortaleza,Planalto Ayrton Senna,399999.0
34,942002101,Casas,200.0,53,3,2,2,Fortaleza,Planalto Ayrton Senna,220000.0
35,935795851,Casas,0.0,80,2,2,2,Fortaleza,Prefeito José Walter,195000.0
36,976336668,Casas,0.0,232,5 ou mais,4,1,Fortaleza,Prefeito José Walter,360000.0
37,899546002,Casas,0.0,80,2,3,2,Fortaleza,Prefeito José Walter,199999.0
38,894174977,Casas,0.0,240,4,3,3,Fortaleza,Prefeito José Walter,400000.0
39,955795347,Apartamentos,220.0,44,2,1,1,Fortaleza,Planalto Ayrton Senna,128000.0
40,969370308,Casas,0.0,220,3,3,1,Fortaleza,Prefeito José Walter,20000.0
41,976140694,Casas,0.0,200,3,2,4,Fortaleza,Prefeito José Walter,250000.0
42,974942804,Apartamentos,0.0,0,2,1,1,Fortaleza,Prefeito José Walter,35000.0
43,955794956,Apartamentos,244.0,48,2,1,1,Fortaleza,Planalto Ayrton Senna,110000.0
44,942002044,Casas,0.0,116,3,3,2,Fortaleza,Prefeito José Walter,190000.0
45,960947379,Apartamentos,220.0,45,2,1,1,Fortaleza,Planalto Ayrton Senna,150000.0
46,975789544,Casas,0.0,160,5 ou mais,2,3,Fortaleza,Prefeito José Walter,265000.0
47,975789444,Casas,0.0,75,4,1,2,Fortaleza,Prefeito José Walter,250000.0
48,948158318,Casas,0.0,102,3,2,2,Fortaleza,Prefeito José Walter,265000.0
49,967765903,Casas,0.0,300,4,2,5 ou mais,Fortaleza,Prefeito José Walter,530000.0
50,973559015,Casas,0.0,170,5 ou mais,3,2,Fortaleza,Prefeito José Walter,360000.0
51,960037387,Casas,0.0,130,4,5 ou mais,2,Fortaleza,Prefeito José Walter,335000.0
52,940401844,Casas,0.0,130,2,2,1,Fortaleza,Prefeito José Walter,180000.0
53,942002062,Apartamentos,246.0,61,2,2,2,Fortaleza,Planalto Ayrton Senna,170000.0
54,909177553,Casas,0.0,100,2,3,2,Fortaleza,Planalto Ayrton Senna,304000.0
55,955795802,Casas,0.0,250,5 ou mais,5 ou mais,1,Fortaleza,Prefeito José Walter,350000.0
56,975567545,Apartamentos,0.0,0,2,1,0,Fortaleza,Prefeito José Walter,14500.0
57,975502763,Casas,0.0,0,1,1,,Fortaleza,Planalto Ayrton Senna,62000.0
58,975483651,Casas,0.0,150,2,1,2,Fortaleza,Planalto Ayrton Senna,100000.0
59,975446535,Casas,0.0,0,2,2,,Fortaleza,Planalto Ayrton Senna,30000.0
60,946910935,Casas,0.0,75,2,1,2,Fortaleza,Prefeito José Walter,175000.0
61,932002346,Apartamentos,250.0,45,2,1,1,Fortaleza,Prefeito José Walter,126000.0
62,975201649,Casas,0.0,0,2,2,0,Fortaleza,Planalto Ayrton Senna,60000.0
