,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,967312502,Casas,0.0,200,3,5 ou mais,3,Fortaleza,Quintino Cunha,480000.0
1,927922460,Casas,0.0,125,2,2,2,Fortaleza,Olavo Oliveira,0.0
2,977329601,Casas,0.0,136,3,1,1,Fortaleza,Olavo Oliveira,45000.0
3,951139187,Casas,0.0,182,3,3,3,Fortaleza,Quintino Cunha,330000.0
4,951141507,Casas,0.0,336,4,5 ou mais,3,Fortaleza,Quintino Cunha,245000.0
5,974493533,Casas,0.0,100,2,2,1,Fortaleza,Quintino Cunha,85000.0
6,961626095,Apartamentos,0.0,48,2,1,1,Fortaleza,Quintino Cunha,600000.0
7,976390384,Casas,0.0,155,5 ou mais,2,1,Fortaleza,Olavo Oliveira,185000.0
8,969062230,Casas,0.0,150,3,1,,Fortaleza,Olavo Oliveira,580000.0
9,922194896,Casas,0.0,125,2,2,2,Fortaleza,Quintino Cunha,0.0
10,922194865,Casas,0.0,125,2,2,2,Fortaleza,Quintino Cunha,0.0
11,960211014,Apartamentos,260.0,46,2,1,1,Fortaleza,Quintino Cunha,130000.0
12,975574862,Casas,0.0,0,2,1,,Fortaleza,Quintino Cunha,440000.0
13,938617474,Casas,0.0,182,3,3,3,Fortaleza,Quintino Cunha,330000.0
14,949475988,Casas,0.0,150,3,2,1,Fortaleza,Quintino Cunha,260000.0
15,967545436,Casas,0.0,120,3,3,3,Fortaleza,Quintino Cunha,380000.0
16,961143766,Casas,0.0,120,3,3,,Fortaleza,Quintino Cunha,380000.0
17,820744719,Casas,0.0,174,3,2,2,Fortaleza,Quintino Cunha,480000.0
18,961625634,Apartamentos,0.0,64,2,1,0,Fortaleza,Quintino Cunha,1100000.0
19,974720042,Apartamentos,255.0,50,2,1,1,Fortaleza,Quintino Cunha,105000.0
20,925284722,Casas,0.0,125,2,2,2,Fortaleza,Quintino Cunha,130000.0
21,950250893,Casas,0.0,450,5 ou mais,5 ou mais,5 ou mais,Fortaleza,Olavo Oliveira,900000.0
22,974099795,Casas,0.0,0,3,1,1,Fortaleza,Quintino Cunha,0.0
23,973742766,Casas,1.0,30,5 ou mais,2,1,Fortaleza,Quintino Cunha,170.0
24,963660970,Casas,0.0,120,3,3,0,Fortaleza,Quintino Cunha,380000.0
25,941651538,Casas,0.0,0,3,3,3,Fortaleza,Quintino Cunha,399000.0
26,962718813,Casas,0.0,148,4,3,2,Fortaleza,Olavo Oliveira,265000.0
