,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,892505752,Apartamentos,570.0,112,4,3,1,Fortaleza,Presidente Kennedy,280000.0
1,898046363,Apartamentos,0.0,117,3,4,2,Fortaleza,São Gerardo,690000.0
2,977581254,Apartamentos,460.0,74,3,2,1,Fortaleza,São Gerardo,260000.0
3,959993019,Apartamentos,600.0,135,4,3,2,Fortaleza,Presidente Kennedy,235000.0
4,967187708,Apartamentos,0.0,82,3,2,2,Fortaleza,São Gerardo,420000.0
5,887195163,Casas,0.0,200,5 ou mais,3,3,Fortaleza,São Gerardo,470000.0
6,969051312,Apartamentos,520.0,87,3,3,2,Fortaleza,Presidente Kennedy,650000.0
7,949959732,Apartamentos,560.0,69,3,2,2,Fortaleza,São Gerardo,248000.0
8,977405384,Apartamentos,320.0,65,3,1,1,Fortaleza,São Gerardo,220000.0
9,950963325,Casas,0.0,450,4,4,4,Fortaleza,São Gerardo,750000.0
10,961631669,Apartamentos,350.0,80,3,3,1,Fortaleza,São Gerardo,450000.0
11,888572166,Apartamentos,0.0,85,3,3,2,Fortaleza,São Gerardo,680000.0
12,951722075,Apartamentos,400.0,64,3,2,2,Fortaleza,São Gerardo,318000.0
13,942741235,Casas,0.0,550,4,4,5 ou mais,Fortaleza,São Gerardo,1450000.0
14,906218949,Apartamentos,0.0,56,2,2,1,Fortaleza,São Gerardo,320000.0
15,900200677,Casas,0.0,282,4,3,4,Fortaleza,São Gerardo,400000.0
16,954901713,Casas,0.0,120,3,3,1,Fortaleza,São Gerardo,590000.0
17,883259650,Apartamentos,570.0,110,3,4,1,Fortaleza,Presidente Kennedy,270000.0
18,952132842,Apartamentos,550.0,87,3,2,2,Fortaleza,São Gerardo,650000.0
19,964620558,Apartamentos,400.0,86,3,2,2,Fortaleza,São Gerardo,416850.0
20,947107736,Apartamentos,350.0,77,3,2,1,Fortaleza,São Gerardo,250000.0
21,950702566,Apartamentos,400.0,70,3,2,2,Fortaleza,São Gerardo,290000.0
22,942050798,Apartamentos,440.0,70,3,2,2,Fortaleza,São Gerardo,340000.0
23,976560349,Apartamentos,450.0,96,3,3,1,Fortaleza,São Gerardo,0.0
24,932001887,Apartamentos,600.0,118,3,3,3,Fortaleza,São Gerardo,1002345.0
25,932251864,Apartamentos,0.0,87,3,3,2,Fortaleza,São Gerardo,721268.0
26,940340159,Apartamentos,700.0,121,3,4,2,Fortaleza,Presidente Kennedy,1600000.0
27,942849850,Apartamentos,320.0,65,3,2,1,Fortaleza,São Gerardo,200000.0
28,976217434,Apartamentos,450.0,96,3,2,1,Fortaleza,São Gerardo,0.0
29,896969249,Apartamentos,556.0,120,3,1,2,Fortaleza,São Gerardo,750000.0
30,976029958,Apartamentos,460.0,74,3,2,1,Fortaleza,São Gerardo,0.0
31,976019550,Apartamentos,380.0,65,3,2,2,Fortaleza,São Gerardo,310000.0
32,935672093,Apartamentos,0.0,170,4,4,3,Fortaleza,São Gerardo,930000.0
33,967212426,Apartamentos,0.0,87,3,3,2,Fortaleza,Presidente Kennedy,590000.0
34,975789431,Apartamentos,620.0,121,3,3,2,Fortaleza,São Gerardo,760000.0
35,936782505,Apartamentos,0.0,117,3,4,2,Fortaleza,São Gerardo,760000.0
36,967718664,Apartamentos,0.0,87,3,3,,Fortaleza,São Gerardo,730000.0
37,920683631,Apartamentos,580.0,118,3,2,1,Fortaleza,Presidente Kennedy,350000.0
38,963920299,Apartamentos,680.0,113,3,2,3,Fortaleza,São Gerardo,390000.0
39,920349103,Apartamentos,400.0,76,3,2,1,Fortaleza,São Gerardo,235000.0
40,904017230,Apartamentos,310.0,66,3,2,1,Fortaleza,São Gerardo,190000.0
41,885129693,Apartamentos,0.0,78,3,2,1,Fortaleza,São Gerardo,249900.0
42,973555155,Apartamentos,340.0,68,3,2,1,Fortaleza,Presidente Kennedy,300000.0
43,952586914,Apartamentos,780.0,121,3,2,2,Fortaleza,São Gerardo,750000.0
44,967327991,Apartamentos,0.0,120,3,3,2,Fortaleza,São Gerardo,760000.0
45,892510340,Apartamentos,360.0,64,2,2,2,Fortaleza,São Gerardo,310000.0
46,888809369,Apartamentos,570.0,105,3,3,1,Fortaleza,São Gerardo,280000.0
47,793919452,Apartamentos,310.0,65,3,2,1,Fortaleza,São Gerardo,200000.0
48,956630612,Apartamentos,0.0,117,3,1,2,Fortaleza,São Gerardo,770000.0
49,888572674,Apartamentos,400.0,70,3,2,2,Fortaleza,São Gerardo,295000.0
50,942849877,Apartamentos,580.0,112,3,2,1,Fortaleza,Presidente Kennedy,250000.0
51,892511977,Apartamentos,300.0,85,3,1,1,Fortaleza,São Gerardo,430000.0
52,931778690,Casas,0.0,586,5 ou mais,5 ou mais,3,Fortaleza,São Gerardo,2000000.0
53,972267988,Apartamentos,400.0,86,3,2,2,Fortaleza,São Gerardo,430000.0
54,636185012,Apartamentos,0.0,87,3,4,3,Fortaleza,São Gerardo,708219.0
