,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,907200759,Apartamentos,1000.0,133,3,3,1,Fortaleza,Tauape,350000.0
1,929859451,Apartamentos,260.0,65,2,2,1,Fortaleza,Tauape,170000.0
2,954922798,Casas,0.0,270,5 ou mais,5 ou mais,2,Fortaleza,Tauape,600000.0
3,888809815,Apartamentos,500.0,115,3,3,2,Fortaleza,Dionisio Torres,575000.0
4,977529555,Casas,0.0,86,2,1,1,Fortaleza,Tauape,220000.0
5,977529541,Apartamentos,300.0,105,3,1,1,Fortaleza,Tauape,280000.0
6,888809686,Apartamentos,600.0,120,3,2,1,Fortaleza,Tauape,270000.0
7,949512505,Apartamentos,0.0,103,2,3,1,Fortaleza,Tauape,190000.0
8,955372870,Casas,0.0,225,4,4,3,Fortaleza,Tauape,450000.0
9,886401706,Apartamentos,750.0,150,3,1,2,Fortaleza,Dionisio Torres,550000.0
10,903670560,Apartamentos,680.0,116,3,2,1,Fortaleza,Tauape,280000.0
11,936417510,Apartamentos,1200.0,140,3,4,3,Fortaleza,Tauape,600000.0
12,950293347,Apartamentos,550.0,97,3,2,1,Fortaleza,Tauape,250000.0
13,971780447,Apartamentos,1500.0,168,3,5 ou mais,3,Fortaleza,Tauape,690000.0
14,947255013,Casas,0.0,500,3,4,5 ou mais,Fortaleza,Tauape,1350000.0
15,883259704,Apartamentos,420.0,73,2,2,0,Fortaleza,Tauape,170000.0
16,952905690,Apartamentos,1100.0,118,3,3,3,Fortaleza,Dionisio Torres,650000.0
17,958434404,Apartamentos,0.0,246,4,3,2,Fortaleza,Tauape,780000.0
18,960722454,Apartamentos,1280.0,109,3,2,0,Fortaleza,Tauape,399000.0
19,976495077,Casas,0.0,0,0,0,0,Fortaleza,Tauape,345000.0
20,949145544,Casas,0.0,0,4,3,1,Fortaleza,Tauape,550000.0
21,972387203,Apartamentos,1200.0,180,4,5 ou mais,3,Fortaleza,Dionisio Torres,990000.0
22,976285349,Apartamentos,0.0,114,3,4,2,Fortaleza,Dionisio Torres,600100.0
23,970502520,Apartamentos,600.0,95,3,3,2,Fortaleza,Tauape,240000.0
24,954345513,Casas,0.0,350,5 ou mais,3,5 ou mais,Fortaleza,Tauape,1350000.0
25,916734895,Casas,0.0,260,5 ou mais,3,2,Fortaleza,Tauape,400000.0
26,936417262,Apartamentos,1200.0,140,3,4,3,Fortaleza,Tauape,630000.0
27,950443025,Apartamentos,670.0,110,3,3,4,Fortaleza,Tauape,200000.0
28,941154983,Apartamentos,310.0,67,3,2,2,Fortaleza,Tauape,170000.0
29,975795536,Casas,0.0,150,5 ou mais,4,2,Fortaleza,Tauape,510000.0
30,975789520,Apartamentos,187.0,47,1,1,1,Fortaleza,Dionisio Torres,200000.0
31,975789489,Apartamentos,750.0,150,3,1,2,Fortaleza,Dionisio Torres,550000.0
32,975789336,Apartamentos,340.0,47,1,1,1,Fortaleza,Dionisio Torres,210000.0
33,949326352,Apartamentos,0.0,480,5 ou mais,5 ou mais,4,Fortaleza,Tauape,899000.0
34,975730346,Casas,0.0,341,5 ou mais,5 ou mais,3,Fortaleza,Tauape,1100000.0
35,950989611,Apartamentos,750.0,102,3,3,2,Fortaleza,Dionisio Torres,800000.0
36,940233025,Apartamentos,940.0,118,3,4,3,Fortaleza,Dionisio Torres,800000.0
37,883620372,Apartamentos,500.0,115,3,4,2,Fortaleza,Dionisio Torres,575000.0
38,920733274,Apartamentos,500.0,119,3,4,3,Fortaleza,Tauape,661000.0
39,894334289,Apartamentos,200.0,54,2,3,0,Fortaleza,Tauape,130000.0
40,920470413,Casas,0.0,1100,5 ou mais,4,5 ou mais,Fortaleza,Tauape,1300000.0
41,932812252,Apartamentos,1050.0,158,3,5 ou mais,4,Fortaleza,Tauape,1580000.0
42,951352524,Apartamentos,200.0,55,2,2,1,Fortaleza,Tauape,135000.0
43,886838235,Apartamentos,800.0,130,3,3,1,Fortaleza,Tauape,280000.0
44,919851021,Apartamentos,565.0,74,2,2,1,Fortaleza,Tauape,290000.0
45,975225187,Apartamentos,700.0,200,3,2,2,Fortaleza,Tauape,350000.0
46,975219261,Apartamentos,0.0,114,3,4,2,Fortaleza,Dionisio Torres,600099.0
47,883259419,Apartamentos,900.0,120,3,4,3,Fortaleza,Tauape,720000.0
48,964759618,Casas,0.0,185,4,4,2,Fortaleza,Tauape,375000.0
49,691774875,Casas,0.0,340,4,4,4,Fortaleza,São João do Tauape,654000.0
50,914170248,Apartamentos,360.0,124,3,3,2,Fortaleza,Tauape,295000.0
51,778654185,Casas,0.0,300,4,4,3,Fortaleza,Tauape,1200000.0
52,930990178,Apartamentos,500.0,115,3,4,2,Fortaleza,Dionisio Torres,585000.0
53,941128374,Apartamentos,310.0,67,3,2,2,Fortaleza,Tauape,170000.0
54,714931741,Casas,0.0,400,3,4,5 ou mais,Fortaleza,Tauape,1500000.0
55,914170192,Casas,0.0,260,5 ou mais,3,2,Fortaleza,Tauape,400000.0
56,886401535,Casas,0.0,150,5 ou mais,4,2,Fortaleza,Tauape,510000.0
57,946634855,Apartamentos,280.0,52,2,1,1,Fortaleza,Tauape,150000.0
58,950968609,Casas,0.0,151,2,2,4,Fortaleza,Tauape,0.0
59,906736560,Apartamentos,500.0,115,3,4,2,Fortaleza,Dionisio Torres,575000.0
60,864269192,Casas,0.0,0,3,,,Fortaleza,Tauape,450000.0
61,974408652,Apartamentos,0.0,114,3,4,2,Fortaleza,Dionisio Torres,600882.0
62,950662150,Casas,0.0,125,2,2,2,Fortaleza,Tauape,0.0
63,950662330,Apartamentos,0.0,43,2,2,5 ou mais,Fortaleza,Tauape,0.0
64,940101281,Apartamentos,0.0,88,3,2,2,Fortaleza,Tauape,427000.0
65,959072495,Apartamentos,1000.0,150,3,5 ou mais,3,Fortaleza,Tauape,570000.0
66,897614583,Apartamentos,400.0,158,3,3,1,Fortaleza,Tauape,220000.0
67,973803534,Apartamentos,0.0,114,3,4,2,Fortaleza,Dionisio Torres,600395.0
68,936040950,Apartamentos,960.0,93,3,2,1,Fortaleza,Tauape,240000.0
69,920788732,Casas,0.0,201,3,2,3,Fortaleza,Tauape,500000.0
70,910266751,Casas,0.0,1110,4,4,5 ou mais,Fortaleza,Tauape,1400000.0
71,891053119,Apartamentos,340.0,47,1,1,1,Fortaleza,Dionisio Torres,210000.0
