,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,969412141,Apartamentos,0.0,53,2,1,2,Fortaleza,Sapiranga-Coité,195000.0
1,974029700,Casas,715.0,125,4,4,2,Fortaleza,Sapiranga-Coité,499000.0
2,907204853,Casas,700.0,120,3,3,3,Fortaleza,Sapiranga-Coité,430000.0
3,964451809,Casas,1400.0,266,3,4,4,Fortaleza,Sapiranga-Coité,1190000.0
4,953104116,Casas,700.0,186,4,5 ou mais,2,Fortaleza,Sapiranga-Coité,520000.0
5,948659405,Casas,700.0,120,3,3,2,Fortaleza,Sapiranga-Coité,430000.0
6,952654708,Casas,0.0,280,3,4,3,Fortaleza,Sapiranga-Coité,590000.0
7,956659584,Casas,715.0,145,3,4,0,Fortaleza,Sapiranga-Coité,549000.0
8,960319993,Casas,700.0,120,3,4,2,Fortaleza,Sapiranga-Coité,460000.0
9,977560888,Casas,400.0,112,4,4,2,Fortaleza,Sapiranga-Coité,450.0
10,954746949,Casas,780.0,178,4,4,2,Fortaleza,Sapiranga-Coité,599000.0
11,977529478,Apartamentos,0.0,52,2,1,2,Fortaleza,Sapiranga-Coité,189000.0
12,714952389,Casas,650.0,153,3,,3,Fortaleza,Sapiranga-Coité,600000.0
13,945045146,Apartamentos,750.0,95,3,3,2,Fortaleza,Sapiranga-Coité,340000.0
14,817791380,Casas,1100.0,210,3,2,2,Fortaleza,Sapiranga-Coité,699900.0
15,772801684,Apartamentos,750.0,95,3,3,2,Fortaleza,Sapiranga-Coité,400000.0
16,962076531,Casas,0.0,145,4,5 ou mais,2,Fortaleza,Sapiranga-Coité,610000.0
17,954960118,Apartamentos,0.0,100,3,4,2,Fortaleza,Sapiranga-Coité,625000.0
18,958684530,Casas,500.0,66,3,2,2,Fortaleza,Sapiranga-Coité,230000.0
19,970513760,Casas,815.0,165,3,5 ou mais,3,Fortaleza,Sapiranga-Coité,599000.0
