,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,940100637,Apartamentos,540.0,116,3,3,2,Fortaleza,Aeroporto,500000.0
1,973405138,Apartamentos,250.0,55,2,2,1,Fortaleza,Serrinha,210000.0
2,936417473,Casas,0.0,210,4,2,4,Fortaleza,Serrinha,480000.0
3,964621071,Casas,0.0,0,5 ou mais,4,2,Fortaleza,Serrinha,485000.0
4,977422037,Apartamentos,0.0,67,3,2,2,Fortaleza,Serrinha,235000.0
5,977405410,Apartamentos,499.0,69,3,2,2,Fortaleza,Serrinha,235000.0
6,917243016,Casas,0.0,129,4,2,,Fortaleza,Serrinha,230000.0
7,929361934,Apartamentos,0.0,72,3,1,2,Fortaleza,Aeroporto,250000.0
8,946693968,Apartamentos,420.0,71,3,2,2,Fortaleza,Serrinha,350000.0
9,960982841,Casas,0.0,100,3,2,3,Fortaleza,Serrinha,380000.0
10,972296866,Casas,0.0,188,3,4,2,Fortaleza,Serrinha,650000.0
11,943453657,Casas,0.0,160,3,2,1,Fortaleza,Serrinha,180000.0
12,976755303,Apartamentos,0.0,0,2,2,1,Fortaleza,Dendê,220000.0
13,949626028,Apartamentos,0.0,53,2,1,1,Fortaleza,Serrinha,205000.0
14,686743300,Apartamentos,330.0,65,3,2,1,Fortaleza,Serrinha,259990.0
15,955795445,Apartamentos,262.0,48,2,1,1,Fortaleza,Serrinha,140000.0
16,922470024,Apartamentos,350.0,64,2,1,1,Fortaleza,Serrinha,260000.0
17,970510434,Apartamentos,503.0,68,3,2,2,Fortaleza,Serrinha,260000.0
18,907569261,Casas,0.0,530,4,1,5 ou mais,Fortaleza,Serrinha,900000.0
19,860590156,Apartamentos,700.0,105,3,,,Fortaleza,Aeroporto,180000.0
20,948158321,Apartamentos,0.0,56,2,2,1,Fortaleza,Serrinha,215000.0
21,975936307,Apartamentos,40.0,60,2,2,,Fortaleza,Dendê,55000.0
22,975789707,Casas,400.0,64,2,2,2,Fortaleza,Serrinha,260000.0
23,975789289,Casas,400.0,100,2,1,1,Fortaleza,Serrinha,350000.0
24,972300109,Apartamentos,250.0,51,2,1,1,Fortaleza,Serrinha,209000.0
25,926519999,Casas,0.0,125,2,2,2,Fortaleza,Aeroporto,0.0
26,926520072,Casas,0.0,125,2,2,2,Fortaleza,Aeroporto,0.0
27,975490493,Casas,0.0,0,2,1,,Fortaleza,Dendê,0.0
28,975445378,Casas,0.0,57,2,1,0,Fortaleza,Dendê,45000.0
29,975368182,Apartamentos,500.0,128,4,3,2,Fortaleza,Aeroporto,260000.0
30,909177353,Casas,0.0,90,3,2,4,Fortaleza,Serrinha,350000.0
31,975261495,Apartamentos,370.0,55,2,2,1,Fortaleza,Serrinha,225000.0
32,932836963,Casas,0.0,128,3,3,4,Fortaleza,Serrinha,750000.0
33,941741139,Casas,0.0,3330,3,3,5 ou mais,Fortaleza,Serrinha,4200000.0
34,894332629,Apartamentos,0.0,65,2,2,1,Fortaleza,Serrinha,260000.0
35,974828240,Casas,0.0,0,3,3,2,Fortaleza,Serrinha,140000.0
36,714931616,Apartamentos,0.0,64,2,1,1,Fortaleza,Serrinha,260000.0
37,955795157,Apartamentos,200.0,44,2,1,1,Fortaleza,Dendê,178000.0
38,974758919,Casas,0.0,0,1,1,0,Fortaleza,Serrinha,12000.0
39,886401296,Casas,400.0,64,2,2,2,Fortaleza,Serrinha,260000.0
40,946910973,Apartamentos,250.0,50,2,1,0,Fortaleza,Serrinha,219000.0
41,974669302,Casas,0.0,0,1,1,,Fortaleza,Serrinha,36000.0
42,932285087,Apartamentos,0.0,118,3,3,2,Fortaleza,Serrinha,550000.0
43,879955989,Casas,0.0,128,3,2,2,Fortaleza,Serrinha,450000.0
44,950287903,Casas,0.0,120,3,3,2,Fortaleza,Dendê,260000.0
45,955795318,Apartamentos,0.0,53,2,2,0,Fortaleza,Serrinha,219000.0
46,955795088,Apartamentos,0.0,68,3,3,1,Fortaleza,Serrinha,289000.0
47,960223997,Apartamentos,320.0,55,2,2,1,Fortaleza,Serrinha,220000.0
48,974181373,Casas,0.0,142,4,5 ou mais,2,Fortaleza,Serrinha,470000.0
49,973988509,Apartamentos,0.0,0,2,1,1,Fortaleza,Serrinha,9000.0
50,973878884,Casas,0.0,16,2,2,,Fortaleza,Dendê,35000.0
51,972299761,Apartamentos,250.0,54,2,1,1,Fortaleza,Serrinha,219000.0
52,884228881,Apartamentos,544.0,68,3,2,2,Fortaleza,Serrinha,275000.0
53,959771300,Apartamentos,251.0,54,2,2,1,Fortaleza,Serrinha,210000.0
54,924128152,Apartamentos,0.0,47,2,1,1,Fortaleza,Serrinha,199000.0
55,929438306,Apartamentos,218.0,48,2,1,1,Fortaleza,Dendê,220000.0
56,973611788,Apartamentos,200.0,56,2,1,1,Fortaleza,Serrinha,125000.0
57,973478602,Casas,0.0,0,2,1,,Fortaleza,Serrinha,100000.0
58,973198746,Casas,0.0,50,4,1,1,Fortaleza,Serrinha,130000.0
59,946911154,Apartamentos,310.0,67,3,1,1,Fortaleza,Serrinha,190000.0
60,973113883,Apartamentos,0.0,67,3,2,2,Fortaleza,Serrinha,235000.0
61,930901846,Casas,0.0,150,2,2,2,Fortaleza,Dendê,320000.0
62,886400863,Casas,400.0,100,2,1,1,Fortaleza,Serrinha,350000.0
