,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,977680142,Apartamentos,0.0,116,4,3,2,Fortaleza,Varjota,570100.0
1,957717419,Apartamentos,900.0,110,3,3,2,Fortaleza,Varjota,269000.0
2,949651164,Apartamentos,1000.0,120,3,4,2,Fortaleza,Varjota,410000.0
3,917523903,Apartamentos,577.0,105,3,,2,Fortaleza,Mucuripe,670000.0
4,853870936,Apartamentos,510.0,94,3,3,2,Fortaleza,Mucuripe,449000.0
5,944860984,Apartamentos,630.0,105,2,3,2,Fortaleza,Mucuripe,680000.0
6,950749356,Apartamentos,5001.0,87,2,2,2,Fortaleza,Varjota,850000.0
7,926579615,Apartamentos,650.0,139,3,1,2,Fortaleza,Mucuripe,250000.0
8,915479073,Apartamentos,550.0,91,3,2,1,Fortaleza,Mucuripe,180000.0
9,959973330,Apartamentos,770.0,112,3,3,1,Fortaleza,Mucuripe,350000.0
10,949837103,Apartamentos,1100.0,116,4,3,2,Fortaleza,Varjota,550000.0
11,903180942,Apartamentos,584.0,105,3,3,,Fortaleza,Mucuripe,650000.0
12,973510751,Apartamentos,2080.0,250,3,4,2,Fortaleza,Varjota,550000.0
13,897614487,Apartamentos,550.0,194,3,3,2,Fortaleza,Mucuripe,720000.0
14,925843657,Apartamentos,690.0,130,3,3,2,Fortaleza,Varjota,600000.0
15,879669059,Apartamentos,1123.0,204,4,4,4,Fortaleza,Varjota,750000.0
16,920482084,Apartamentos,900.0,110,3,3,2,Fortaleza,Varjota,250000.0
17,959072372,Apartamentos,0.0,106,3,3,2,Fortaleza,Mucuripe,650000.0
18,906298278,Apartamentos,0.0,126,3,3,2,Fortaleza,Varjota,449000.0
19,959973339,Apartamentos,580.0,107,3,3,2,Fortaleza,Mucuripe,700000.0
20,956186421,Apartamentos,600.0,106,3,1,2,Fortaleza,Varjota,325000.0
21,977147550,Apartamentos,600.0,105,3,,2,Fortaleza,Mucuripe,735000.0
22,977129821,Apartamentos,850.0,97,4,3,1,Fortaleza,Varjota,365000.0
23,977089754,Apartamentos,0.0,94,3,2,2,Fortaleza,Varjota,0.0
24,970427716,Apartamentos,0.0,106,3,3,2,Fortaleza,Mucuripe,690000.0
25,940100812,Apartamentos,700.0,123,3,4,2,Fortaleza,Varjota,650000.0
26,967707613,Apartamentos,900.0,133,3,4,1,Fortaleza,Varjota,425000.0
27,959072459,Apartamentos,680.0,124,3,3,2,Fortaleza,Varjota,650000.0
28,933691762,Apartamentos,1200.0,95,3,3,2,Fortaleza,Varjota,250000.0
29,959626137,Apartamentos,900.0,109,3,3,1,Fortaleza,Varjota,279000.0
30,976721370,Apartamentos,490.0,73,3,3,1,Fortaleza,Varjota,350000.0
31,595613474,Apartamentos,1150.0,120,3,3,2,Fortaleza,Varjota,660000.0
32,971780414,Casas,1145.0,467,5 ou mais,5 ou mais,4,Fortaleza,Varjota,1950000.0
33,946635084,Apartamentos,1200.0,96,3,2,2,Fortaleza,Varjota,250000.0
34,976649759,Apartamentos,650.0,105,3,3,2,Fortaleza,Mucuripe,689000.0
35,960962012,Apartamentos,720.0,93,3,2,2,Fortaleza,Mucuripe,520000.0
36,960001970,Apartamentos,110000.0,117,4,4,2,Fortaleza,Varjota,500000.0
37,971780381,Apartamentos,430.0,97,3,3,1,Fortaleza,Mucuripe,265000.0
38,935993594,Apartamentos,0.0,136,3,1,1,Fortaleza,Varjota,340000.0
39,952930430,Apartamentos,1000.0,109,3,3,1,Fortaleza,Varjota,300000.0
40,952227712,Apartamentos,800.0,87,3,1,2,Fortaleza,Varjota,928048.0
41,941379834,Apartamentos,780.0,94,3,3,2,Fortaleza,Mucuripe,520000.0
42,958174053,Apartamentos,0.0,125,3,4,2,Fortaleza,Varjota,620000.0
43,976240737,Apartamentos,830.0,120,4,3,1,Fortaleza,Varjota,0.0
44,964178676,Apartamentos,0.0,125,3,4,2,Fortaleza,Varjota,620000.0
45,804134335,Apartamentos,960.0,0,3,3,2,Fortaleza,Varjota,420000.0
46,976083918,Apartamentos,0.0,105,3,3,2,Fortaleza,Mucuripe,700000.0
47,954345589,Apartamentos,0.0,86,2,3,2,Fortaleza,Varjota,944886.0
48,954006766,Apartamentos,650.0,106,3,3,2,Fortaleza,Mucuripe,650000.0
49,886821668,Casas,0.0,495,4,3,2,Fortaleza,Mucuripe,700000.0
50,926544770,Apartamentos,616.0,86,3,3,2,Fortaleza,Varjota,859900.0
51,932992101,Apartamentos,686.0,105,3,3,2,Fortaleza,Mucuripe,590000.0
52,936417391,Apartamentos,870.0,136,3,3,2,Fortaleza,Varjota,550000.0
53,972995528,Apartamentos,1200.0,134,3,2,2,Fortaleza,Mucuripe,430000.0
54,972296919,Apartamentos,520.0,106,4,4,2,Fortaleza,Varjota,330000.0
55,975789789,Apartamentos,1200.0,96,3,1,2,Fortaleza,Varjota,250000.0
56,975789497,Apartamentos,850.0,132,3,3,2,Fortaleza,Varjota,400000.0
57,975789303,Apartamentos,550.0,98,3,1,2,Fortaleza,Varjota,220000.0
58,975789279,Apartamentos,500.0,101,3,2,1,Fortaleza,Varjota,330000.0
59,945907989,Apartamentos,650.0,114,3,2,2,Fortaleza,Varjota,430000.0
60,888807770,Apartamentos,660.0,124,3,3,2,Fortaleza,Varjota,590000.0
61,959973310,Apartamentos,700.0,105,3,3,2,Fortaleza,Mucuripe,690000.0
62,926041393,Apartamentos,795.0,94,2,,2,Fortaleza,Mucuripe,520000.0
63,957903038,Apartamentos,900.0,109,3,3,1,Fortaleza,Varjota,280000.0
64,975734944,Apartamentos,0.0,105,3,3,2,Fortaleza,Varjota,690004.0
65,959974865,Apartamentos,1000.0,152,4,5 ou mais,3,Fortaleza,Varjota,1290000.0
66,975693541,Apartamentos,0.0,116,4,3,2,Fortaleza,Varjota,570004.0
67,967121817,Apartamentos,670.0,78,2,2,,Fortaleza,Mucuripe,466000.0
68,967145536,Apartamentos,1052.0,145,3,3,2,Fortaleza,Varjota,580000.0
69,956461919,Apartamentos,1000.0,120,3,1,2,Fortaleza,Varjota,650000.0
70,899922028,Apartamentos,0.0,140,3,3,2,Fortaleza,Varjota,500000.0
71,934614915,Apartamentos,894.0,130,3,3,1,Fortaleza,Mucuripe,500000.0
72,935619012,Apartamentos,608.0,106,3,4,2,Fortaleza,Varjota,330000.0
73,936417452,Apartamentos,0.0,120,3,3,2,Fortaleza,Varjota,685000.0
74,886441672,Apartamentos,815.0,94,3,,2,Fortaleza,Mucuripe,570000.0
75,975334084,Apartamentos,1044.0,125,3,2,1,Fortaleza,Varjota,350000.0
76,712051351,Apartamentos,820.0,95,3,2,2,Fortaleza,Varjota,300000.0
77,946735993,Apartamentos,776.0,94,3,3,2,Fortaleza,Mucuripe,500000.0
78,932979405,Apartamentos,616.0,86,3,3,2,Fortaleza,Varjota,857483.0
79,902054775,Casas,0.0,0,2,2,0,Fortaleza,Mucuripe,240000.0
80,967052638,Apartamentos,930.0,140,3,3,2,Fortaleza,Varjota,340000.0
81,970578092,Apartamentos,550.0,60,2,2,1,Fortaleza,Varjota,390000.0
82,954982739,Apartamentos,1000.0,109,4,1,1,Fortaleza,Varjota,300000.0
83,964759695,Apartamentos,670.0,124,3,3,2,Fortaleza,Varjota,650000.0
84,936417395,Casas,0.0,154,3,4,3,Fortaleza,Varjota,950000.0
85,947435723,Casas,0.0,315,5 ou mais,5 ou mais,5 ou mais,Fortaleza,Varjota,780000.0
86,937651541,Apartamentos,600.0,106,3,3,2,Fortaleza,Varjota,325000.0
87,926544791,Apartamentos,686.0,105,3,3,2,Fortaleza,Mucuripe,599000.0
88,940100643,Apartamentos,0.0,86,3,3,2,Fortaleza,Varjota,750000.0
89,963568881,Apartamentos,0.0,87,3,3,2,Fortaleza,Varjota,700000.0
90,909335124,Apartamentos,950.0,121,3,3,2,Fortaleza,Varjota,449000.0
91,974957062,Apartamentos,0.0,94,3,3,2,Fortaleza,Mucuripe,480000.0
92,974954800,Apartamentos,0.0,94,3,3,2,Fortaleza,Mucuripe,480000.0
93,945781010,Apartamentos,1100.0,140,3,4,2,Fortaleza,Varjota,535000.0
94,974941995,Apartamentos,0.0,116,4,3,2,Fortaleza,Varjota,570003.0
95,903180634,Apartamentos,585.0,105,3,3,2,Fortaleza,Mucuripe,650000.0
96,714930384,Apartamentos,705.0,93,3,3,2,Fortaleza,Mucuripe,500000.0
97,934621918,Apartamentos,837.0,94,3,,2,Fortaleza,Mucuripe,470000.0
98,839058224,Apartamentos,850.0,0,1,1,1,Fortaleza,Varjota,250000.0
99,834604789,Apartamentos,650.0,71,3,3,1,Fortaleza,Varjota,285000.0
100,809786441,Apartamentos,650.0,120,4,3,2,Fortaleza,Varjota,399999.0
101,812351665,Apartamentos,690.0,105,4,3,2,Fortaleza,Mucuripe,690000.0
102,812350036,Apartamentos,690.0,105,4,4,2,Fortaleza,Mucuripe,790000.0
103,812351101,Apartamentos,690.0,105,4,3,2,Fortaleza,Mucuripe,690000.0
104,959072437,Apartamentos,0.0,125,3,4,2,Fortaleza,Varjota,665000.0
105,839050805,Apartamentos,850.0,0,1,1,1,Fortaleza,Varjota,250000.0
106,864216390,Apartamentos,620.0,71,3,3,1,Fortaleza,Varjota,279999.0
107,864217302,Apartamentos,620.0,71,3,3,1,Fortaleza,Varjota,279999.0
108,864215341,Apartamentos,620.0,71,3,3,1,Fortaleza,Varjota,279999.0
109,870978604,Apartamentos,950.0,127,4,4,2,Fortaleza,Varjota,460000.0
110,870980968,Apartamentos,950.0,127,4,4,2,Fortaleza,Varjota,460000.0
111,870977455,Apartamentos,950.0,127,4,4,2,Fortaleza,Varjota,460000.0
112,709710471,Apartamentos,1123.0,204,4,4,0,Fortaleza,Varjota,0.0
113,936416984,Apartamentos,850.0,130,3,3,2,Fortaleza,Varjota,680000.0
114,947398971,Apartamentos,0.0,126,3,3,2,Fortaleza,Varjota,410000.0
115,784700531,Casas,1085.0,467,5 ou mais,5 ou mais,4,Fortaleza,Varjota,1990000.0
116,709600143,Apartamentos,1100.0,204,4,4,3,Fortaleza,Varjota,0.0
117,709596052,Apartamentos,1100.0,204,4,5 ou mais,3,Fortaleza,Varjota,0.0
118,709594619,Apartamentos,1100.0,204,4,5 ou mais,3,Fortaleza,Varjota,0.0
119,709597879,Apartamentos,1100.0,204,4,4,3,Fortaleza,Varjota,0.0
120,847652533,Apartamentos,600.0,107,4,3,1,Fortaleza,Varjota,285000.0
121,951632450,Apartamentos,0.0,94,3,3,2,Fortaleza,Mucuripe,0.0
122,951625111,Apartamentos,0.0,94,3,3,2,Fortaleza,Varjota,0.0
123,951633528,Apartamentos,0.0,94,3,3,2,Fortaleza,Mucuripe,0.0
124,851258236,Apartamentos,675.0,107,4,3,1,Fortaleza,Varjota,285000.0
125,897614725,Apartamentos,2000.0,519,3,4,3,Fortaleza,Varjota,1099000.0
126,953104267,Apartamentos,1000.0,109,3,3,1,Fortaleza,Varjota,300000.0
127,907568455,Apartamentos,800.0,109,3,3,1,Fortaleza,Varjota,400000.0
128,958150274,Apartamentos,900.0,139,3,3,1,Fortaleza,Varjota,280000.0
129,904939153,Apartamentos,550.0,91,3,2,1,Fortaleza,Mucuripe,179000.0
130,920781069,Apartamentos,1000.0,150,3,4,2,Fortaleza,Varjota,630000.0
131,948393622,Apartamentos,850.0,115,3,3,2,Fortaleza,Varjota,550000.0
132,791493243,Apartamentos,0.0,86,2,3,2,Fortaleza,Varjota,944886.0
133,936417045,Apartamentos,0.0,94,3,3,2,Fortaleza,Varjota,480000.0
134,907568570,Apartamentos,450.0,91,4,3,2,Fortaleza,Mucuripe,200000.0
135,897614888,Apartamentos,710.0,94,3,3,2,Fortaleza,Mucuripe,480000.0
136,613143055,Apartamentos,0.0,76,3,3,2,Fortaleza,Varjota,399000.0
137,932285380,Apartamentos,700.0,89,3,3,2,Fortaleza,Varjota,885000.0
138,791493233,Apartamentos,0.0,87,2,2,2,Fortaleza,Varjota,964132.0
139,972296792,Apartamentos,608.0,106,3,3,2,Fortaleza,Varjota,325000.0
140,947695575,Apartamentos,0.0,86,2,3,2,Fortaleza,Varjota,936600.0
141,920263562,Apartamentos,950.0,87,3,3,2,Fortaleza,Varjota,260000.0
142,907569360,Apartamentos,794.0,246,3,4,1,Fortaleza,Mucuripe,260000.0
143,844211036,Casas,0.0,960,5 ou mais,3,5 ou mais,Fortaleza,Varjota,1810000.0
144,841151378,Apartamentos,939.0,150,3,,2,Fortaleza,Varjota,280000.0
145,818188123,Apartamentos,420.0,86,3,3,2,Fortaleza,Varjota,850000.0
146,953378857,Apartamentos,670.0,105,3,3,2,Fortaleza,Mucuripe,680000.0
147,897616447,Apartamentos,738.0,94,3,3,2,Fortaleza,Mucuripe,520000.0
148,886401299,Apartamentos,550.0,98,3,1,2,Fortaleza,Varjota,220000.0
149,946911038,Apartamentos,0.0,89,2,2,2,Fortaleza,Varjota,695422.0
150,846878781,Apartamentos,1760.0,208,4,5 ou mais,3,Fortaleza,Mucuripe,1788000.0
151,813179592,Apartamentos,800.0,120,3,3,1,Fortaleza,Varjota,350000.0
152,948204326,Apartamentos,650.0,105,3,3,2,Fortaleza,Mucuripe,690000.0
153,952748424,Apartamentos,600.0,126,3,4,2,Fortaleza,Varjota,620000.0
154,973632430,Apartamentos,830.0,120,4,3,1,Fortaleza,Varjota,0.0
155,947407080,Apartamentos,1200.0,95,3,2,2,Fortaleza,Varjota,250000.0
156,973550790,Apartamentos,0.0,86,3,2,2,Fortaleza,Varjota,944887.0
157,813479286,Casas,0.0,0,3,1,1,Fortaleza,Mucuripe,500000.0
158,973418226,Apartamentos,716.0,87,3,2,2,Fortaleza,Varjota,799999.0
159,931994074,Apartamentos,0.0,86,2,3,2,Fortaleza,Varjota,745088.0
160,936417277,Apartamentos,0.0,94,3,3,2,Fortaleza,Varjota,499000.0
