,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,927575955,Apartamentos,720.0,146,3,2,2,Fortaleza,Vicente Pinzon,250000.0
1,977663981,Casas,0.0,0,1,,,Fortaleza,Vicente Pinzon,15000.0
2,962076593,Apartamentos,750.0,125,3,3,2,Fortaleza,Vicente Pinzon,349000.0
3,938647756,Apartamentos,1299.0,206,3,2,2,Fortaleza,Vicente Pinzon,350000.0
4,960682416,Apartamentos,900.0,127,3,2,1,Fortaleza,Vicente Pinzon,250000.0
5,794186050,Apartamentos,510.0,108,3,3,2,Fortaleza,Vicente Pinzon,240000.0
6,972692907,Casas,0.0,160,3,3,2,Fortaleza,Vicente Pinzon,25000.0
7,932492072,Apartamentos,700.0,70,3,2,1,Fortaleza,Vicente Pinzon,290000.0
8,883382982,Apartamentos,450.0,102,3,3,1,Fortaleza,Vicente Pinzon,140000.0
9,977529475,Apartamentos,2138.0,181,5 ou mais,5 ou mais,5 ou mais,Fortaleza,Vicente Pinzon,720000.0
10,969518533,Apartamentos,350.0,100,3,2,2,Fortaleza,Vicente Pinzon,250000.0
11,977415525,Apartamentos,0.0,54,2,2,1,Fortaleza,Vicente Pinzon,274000.0
12,971785476,Casas,0.0,551,5 ou mais,5 ou mais,5 ou mais,Fortaleza,Vicente Pinzon,1200000.0
13,972267982,Apartamentos,650.0,60,2,2,2,Fortaleza,Vicente Pinzon,230000.0
14,919851085,Apartamentos,525.0,52,2,1,1,Fortaleza,Vicente Pinzon,330000.0
15,968101494,Apartamentos,0.0,0,3,0,1,Fortaleza,Vicente Pinzon,310966.0
16,959071984,Casas,0.0,117,3,3,2,Fortaleza,Vicente Pinzon,760500.0
17,920732122,Casas,0.0,328,4,5 ou mais,5 ou mais,Fortaleza,Vicente Pinzon,3600000.0
18,893285937,Apartamentos,1250.0,140,3,3,2,Fortaleza,Vicente Pinzon,270000.0
19,947512209,Apartamentos,450.0,63,2,2,1,Fortaleza,Vicente Pinzon,465000.0
20,936417322,Apartamentos,600.0,80,2,2,2,Fortaleza,Vicente Pinzon,235000.0
21,933822551,Apartamentos,0.0,51,1,2,,Fortaleza,Vicente Pinzon,385000.0
22,976862353,Casas,0.0,0,0,0,0,Fortaleza,Vicente Pinzon,300000.0
23,897614395,Casas,0.0,495,4,4,4,Fortaleza,Vicente Pinzon,530000.0
24,971353019,Apartamentos,650.0,70,2,2,2,Fortaleza,Vicente Pinzon,230000.0
25,961599236,Apartamentos,400.0,80,3,3,2,Fortaleza,Vicente Pinzon,499000.0
26,907565803,Apartamentos,589.0,126,3,3,1,Fortaleza,Vicente Pinzon,220000.0
27,946777883,Apartamentos,780.0,117,4,3,1,Fortaleza,Vicente Pinzon,310000.0
28,942001969,Casas,0.0,117,3,4,3,Fortaleza,Vicente Pinzon,791000.0
29,976649370,Casas,0.0,234,4,3,5 ou mais,Fortaleza,Vicente Pinzon,450000.0
30,897614811,Casas,0.0,436,5 ou mais,5 ou mais,4,Fortaleza,Vicente Pinzon,1350000.0
31,971509135,Casas,0.0,120,3,3,1,Fortaleza,Vicente Pinzon,15000.0
32,940301971,Apartamentos,550.0,95,3,4,1,Fortaleza,Vicente Pinzon,270000.0
33,967443545,Apartamentos,0.0,370,3,5 ou mais,3,Fortaleza,Vicente Pinzon,1000000.0
34,948742636,Apartamentos,750.0,117,3,2,1,Fortaleza,Praia do Futuro I,260000.0
35,937396425,Apartamentos,1298.0,161,3,3,2,Fortaleza,Vicente Pinzon,370000.0
36,963416840,Apartamentos,550.0,51,2,1,1,Fortaleza,Vicente Pinzon,370000.0
37,707553372,Apartamentos,500.0,57,3,2,1,Fortaleza,Vicente Pinzon,300000.0
38,948563953,Apartamentos,530.0,51,2,2,1,Fortaleza,Vicente Pinzon,385000.0
39,956360334,Apartamentos,1000.0,118,4,5 ou mais,2,Fortaleza,Vicente Pinzon,320000.0
40,920487108,Apartamentos,456.0,62,2,2,2,Fortaleza,Vicente Pinzon,350000.0
41,940100611,Apartamentos,0.0,144,3,5 ou mais,1,Fortaleza,Vicente Pinzon,390000.0
42,976015408,Casas,0.0,160,3,3,2,Fortaleza,Vicente Pinzon,20000.0
43,976002238,Apartamentos,85.0,0,2,1,1,Fortaleza,Vicente Pinzon,10000.0
44,928356442,Apartamentos,600.0,63,2,2,1,Fortaleza,Vicente Pinzon,465000.0
45,975984459,Apartamentos,650.0,64,2,2,1,Fortaleza,Vicente Pinzon,270000.0
46,959973168,Apartamentos,450.0,67,2,3,2,Fortaleza,Vicente Pinzon,220000.0
47,972268114,Apartamentos,700.0,86,3,3,2,Fortaleza,Vicente Pinzon,879225.0
48,975802816,Apartamentos,585.0,102,3,2,2,Fortaleza,Vicente Pinzon,247000.0
49,975789510,Apartamentos,775.0,131,3,3,4,Fortaleza,Vicente Pinzon,180000.0
50,975789439,Casas,0.0,321,3,3,4,Fortaleza,Vicente Pinzon,980000.0
51,959973369,Apartamentos,0.0,60,2,2,2,Fortaleza,Vicente Pinzon,275000.0
52,709980256,Apartamentos,680.0,113,3,2,,Fortaleza,Vicente Pinzon,330000.0
