,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,977538290,Apartamentos,0.0,49,2,1,1,Fortaleza,Ellery,0.0
1,924123049,Casas,0.0,170,4,2,5 ou mais,Fortaleza,São Gerardo,600000.0
2,930990212,Apartamentos,0.0,64,3,2,2,Fortaleza,Ellery,330000.0
3,909177477,Apartamentos,400.0,64,3,2,2,Fortaleza,Ellery,335000.0
4,892510473,Apartamentos,310.0,52,2,1,1,Fortaleza,Ellery,170000.0
5,976010108,Casas,0.0,160,3,3,2,Fortaleza,Ellery,20000.0
6,956299575,Apartamentos,234.0,68,2,2,1,Fortaleza,Ellery,160000.0
7,916056970,Casas,0.0,126,4,2,1,Fortaleza,Ellery,295000.0
8,972690144,Casas,0.0,140,2,2,1,Fortaleza,Ellery,20000.0
9,971509877,Casas,0.0,96,3,3,1,Fortaleza,Ellery,15000.0
10,926086531,Casas,0.0,180,3,2,2,Fortaleza,Ellery,0.0
11,926086315,Casas,0.0,125,2,2,2,Fortaleza,Ellery,0.0
12,926085045,Casas,0.0,125,2,2,2,Fortaleza,Ellery,0.0
13,926085861,Casas,0.0,125,2,2,2,Fortaleza,Ellery,0.0
14,758950812,Apartamentos,0.0,55,2,2,1,Fortaleza,Monte Castelo,401000.0
15,947407084,Apartamentos,310.0,50,2,,1,Fortaleza,Ellery,190000.0
16,923019214,Apartamentos,310.0,52,2,1,1,Fortaleza,Ellery,190000.0
17,952748488,Apartamentos,350.0,55,2,1,1,Fortaleza,Ellery,160000.0
18,801440887,Apartamentos,250.0,51,2,1,1,Fortaleza,Ellery,176000.0
19,910559690,Apartamentos,500.0,0,3,2,0,Fortaleza,Ellery,340000.0
20,813473873,Apartamentos,0.0,100,3,2,1,Fortaleza,Vila Ellery,229000.0
21,636185441,Apartamentos,310.0,50,2,1,1,Fortaleza,Ellery,160000.0
22,915189408,Apartamentos,300.0,123,3,1,2,Fortaleza,São Gerardo,240000.0
23,890280406,Apartamentos,0.0,55,2,2,,Fortaleza,Ellery,306000.0
24,922054477,Casas,0.0,125,2,2,2,Fortaleza,São Gerardo,0.0
25,922054450,Casas,0.0,125,2,2,2,Fortaleza,São Gerardo,0.0
26,972297674,Casas,0.0,383,4,3,5 ou mais,Fortaleza,Ellery,500000.0
27,972297358,Apartamentos,400.0,63,2,2,2,Fortaleza,Ellery,345000.0
28,968102475,Apartamentos,0.0,53,2,2,1,Fortaleza,Ellery,340000.0
29,966425716,Apartamentos,0.0,0,2,,,Fortaleza,Ellery,170.0
30,911607709,Apartamentos,400.0,64,3,2,2,Fortaleza,Ellery,335000.0
31,813473797,Apartamentos,250.0,51,2,1,1,Fortaleza,Ellery,173000.0
32,802883728,Apartamentos,150.0,58,3,2,1,Fortaleza,Ellery,140000.0
33,911101087,Casas,0.0,125,2,2,2,Fortaleza,Ellery,0.0
34,911120725,Casas,0.0,125,2,2,2,Fortaleza,Ellery,0.0
35,961705863,Casas,0.0,0,3,3,3,Fortaleza,Ellery,570000.0
36,961566318,Apartamentos,0.0,0,2,,,Fortaleza,Ellery,0.0
37,960777372,Apartamentos,400.0,63,3,,,Fortaleza,Ellery,329000.0
38,672965389,Apartamentos,250.0,50,2,1,1,Fortaleza,Ellery,174999.0
39,957338859,Casas,0.0,0,3,3,,Fortaleza,Ellery,0.0
40,947857074,Apartamentos,400.0,63,3,2,2,Fortaleza,Ellery,340000.0
41,877601895,Casas,0.0,363,4,2,3,Fortaleza,Ellery,500000.0
42,875629985,Apartamentos,430.0,64,3,,2,Fortaleza,Ellery,330000.0
