,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,951352641,Apartamentos,0.0,95,3,1,1,Fortaleza,Vila União,205000.0
1,730566890,Casas,0.0,915,5 ou mais,5 ou mais,5 ou mais,Fortaleza,Vila União,2500000.0
2,977405372,Apartamentos,400.0,80,3,3,1,Fortaleza,Vila União,195000.0
3,977178761,Apartamentos,0.0,94,2,2,1,Fortaleza,Vila União,270900.0
4,946228309,Casas,0.0,240,3,3,5 ou mais,Fortaleza,Vila União,600000.0
5,945757696,Apartamentos,780.0,62,3,3,1,Fortaleza,Vila União,260000.0
6,907579172,Apartamentos,400.0,85,3,1,1,Fortaleza,Vila União,220000.0
7,863270020,Apartamentos,0.0,90,3,,1,Fortaleza,Vila União,490000.0
8,783701958,Apartamentos,345.0,60,3,2,1,Fortaleza,Vila União,440000.0
9,847126490,Casas,0.0,478,4,3,4,Fortaleza,Vila União,730000.0
10,976727994,Casas,0.0,72,3,1,0,Fortaleza,Vila União,79000.0
11,931459282,Apartamentos,450.0,90,3,3,2,Fortaleza,Vila União,500000.0
12,951260678,Apartamentos,460.0,89,3,2,2,Fortaleza,Vila União,255000.0
13,976600384,Apartamentos,820.0,110,3,2,1,Fortaleza,Vila União,240000.0
14,959646726,Apartamentos,570.0,58,2,2,1,Fortaleza,Vila União,259900.0
15,917471989,Apartamentos,400.0,80,3,3,1,Fortaleza,Vila União,195000.0
16,960807866,Apartamentos,180.0,79,2,3,1,Fortaleza,Vila União,280000.0
17,975136050,Casas,0.0,280,4,5 ou mais,5 ou mais,Fortaleza,Vila União,720000.0
18,953689646,Apartamentos,589.0,140,3,4,2,Fortaleza,Vila União,440000.0
19,934686657,Apartamentos,468.0,106,3,,2,Fortaleza,Vila União,315000.0
20,946228539,Apartamentos,396.0,112,3,3,2,Fortaleza,Vila União,230000.0
21,975032310,Casas,0.0,260,3,3,2,Fortaleza,Vila União,350000.0
22,941297810,Casas,0.0,120,4,3,2,Fortaleza,Vila União,320000.0
23,950989200,Apartamentos,840.0,118,3,3,1,Fortaleza,Vila União,299000.0
24,966371363,Apartamentos,420.0,65,3,3,1,Fortaleza,Vila União,220000.0
25,927661704,Apartamentos,430.0,90,3,3,2,Fortaleza,Vila União,490000.0
26,950665459,Apartamentos,570.0,60,2,2,2,Fortaleza,Vila União,285000.0
27,840357700,Apartamentos,540.0,90,3,3,2,Fortaleza,Vila União,495000.0
28,969236499,Casas,0.0,173,5 ou mais,5 ou mais,5 ou mais,Fortaleza,Vila União,1200000.0
29,854969280,Apartamentos,414.0,90,3,3,2,Fortaleza,Vila União,490000.0
30,803712264,Casas,750.0,157,3,3,2,Fortaleza,Vila União,520000.0
31,973856269,Casas,0.0,396,4,3,2,Fortaleza,Vila União,700000.0
32,964510293,Casas,0.0,305,5 ou mais,4,5 ou mais,Fortaleza,Vila União,1200000.0
33,973584502,Casas,0.0,200,4,4,2,Fortaleza,Vila União,520000.0
34,919711418,Apartamentos,430.0,122,3,2,2,Fortaleza,Vila União,495000.0
35,935196755,Apartamentos,430.0,87,3,,1,Fortaleza,Vila União,250000.0
36,887503582,Apartamentos,300.0,70,3,2,1,Fortaleza,Vila União,200000.0
37,967442584,Apartamentos,420.0,65,3,3,1,Fortaleza,Vila União,220000.0
38,907567901,Apartamentos,350.0,98,3,2,2,Fortaleza,Vila União,350000.0
39,604046644,Apartamentos,300.0,128,3,3,1,Fortaleza,Vila União,285000.0
40,972297874,Apartamentos,412.0,90,3,3,2,Fortaleza,Vila União,640000.0
41,972297598,Apartamentos,820.0,110,1,3,1,Fortaleza,Vila União,295000.0
42,972297361,Casas,0.0,915,5 ou mais,5 ou mais,5 ou mais,Fortaleza,Vila União,2500000.0
43,972297234,Casas,0.0,214,4,4,4,Fortaleza,Vila União,750000.0
44,972258650,Apartamentos,300.0,100,3,3,1,Fortaleza,Vila União,175000.0
45,953826139,Apartamentos,350.0,64,3,2,1,Fortaleza,Vila União,215000.0
46,972035105,Casas,0.0,0,4,4,4,Fortaleza,Vila União,1200000.0
47,893561475,Apartamentos,470.0,90,3,3,2,Fortaleza,Vila União,520000.0
48,971753775,Apartamentos,405.0,71,3,3,1,Fortaleza,Vila União,200000.0
49,907568357,Apartamentos,350.0,75,3,1,1,Fortaleza,Vila União,248000.0
50,971265965,Apartamentos,820.0,110,3,2,1,Fortaleza,Vila União,0.0
51,819062312,Casas,0.0,210,3,3,4,Fortaleza,Vila União,675000.0
52,970901208,Casas,0.0,0,2,,,Fortaleza,Vila União,18000.0
53,917704121,Apartamentos,0.0,88,3,2,1,Fortaleza,Vila União,250000.0
54,907565992,Casas,0.0,260,5 ou mais,2,3,Fortaleza,Vila União,990000.0
55,961927689,Apartamentos,250.0,70,3,2,1,Fortaleza,Vila União,299000.0
56,915910075,Casas,0.0,125,2,2,2,Fortaleza,Vila União,0.0
57,915909948,Casas,0.0,125,2,2,2,Fortaleza,Vila União,0.0
58,915795312,Casas,0.0,125,2,2,2,Fortaleza,Vila União,0.0
59,915795253,Casas,0.0,125,2,2,2,Fortaleza,Vila União,0.0
60,969780484,Apartamentos,550.0,101,3,3,1,Fortaleza,Vila União,220000.0
61,900396510,Casas,0.0,311,4,5 ou mais,4,Fortaleza,Vila União,720000.0
62,932284849,Casas,0.0,239,4,3,4,Fortaleza,Vila União,820000.0
63,889469088,Casas,0.0,605,3,2,1,Fortaleza,Vila União,375000.0
64,916974169,Casas,0.0,792,4,5 ou mais,5 ou mais,Fortaleza,Vila União,1200000.0
65,892004402,Apartamentos,0.0,0,3,2,1,Fortaleza,Vila União,180000.0
66,917301506,Casas,0.0,125,2,2,2,Fortaleza,Vila União,0.0
67,917300916,Casas,0.0,125,2,2,2,Fortaleza,Vila União,0.0
68,936416698,Apartamentos,623.0,60,3,2,2,Fortaleza,Vila União,340000.0
69,907565939,Casas,0.0,190,3,2,2,Fortaleza,Vila União,410000.0
70,968049260,Apartamentos,820.0,110,3,2,1,Fortaleza,Vila União,0.0
71,968004670,Apartamentos,0.0,60,2,2,1,Fortaleza,Vila União,245000.0
72,911607711,Casas,0.0,214,4,4,4,Fortaleza,Vila União,720000.0
73,967364437,Casas,0.0,190,4,3,2,Fortaleza,Jardim América,350000.0
74,907567942,Apartamentos,650.0,112,3,1,2,Fortaleza,Vila União,320000.0
75,948931008,Casas,670.0,120,3,4,2,Fortaleza,Vila União,590000.0
76,813473818,Casas,0.0,224,3,3,1,Fortaleza,Vila União,350000.0
77,779613382,Casas,0.0,300,3,4,5 ou mais,Fortaleza,Vila União,750000.0
78,913613963,Apartamentos,570.0,58,2,2,1,Fortaleza,Vila União,285000.0
79,901488584,Casas,0.0,250,4,3,3,Fortaleza,Vila União,350000.0
80,963756214,Apartamentos,0.0,117,3,2,2,Fortaleza,Vila União,330000.0
81,963327872,Apartamentos,820.0,110,3,2,1,Fortaleza,Vila União,240000.0
82,907567371,Apartamentos,300.0,70,3,1,1,Fortaleza,Vila União,180000.0
83,961658314,Casas,0.0,210,3,2,4,Fortaleza,Vila União,675000.0
84,961630738,Apartamentos,483.0,66,3,2,1,Fortaleza,Vila União,315000.0
85,961630599,Apartamentos,440.0,66,3,2,1,Fortaleza,Vila União,270000.0
86,961609820,Apartamentos,180.0,80,2,3,1,Fortaleza,Vila União,280000.0
87,961592201,Apartamentos,500.0,95,3,3,1,Fortaleza,Vila União,300000.0
88,960803233,Casas,0.0,130,3,2,1,Fortaleza,Vila União,197001.0
89,942640858,Casas,0.0,300,4,5 ou mais,4,Fortaleza,Vila União,740000.0
90,918165741,Casas,0.0,182,3,1,1,Fortaleza,Vila União,370000.0
91,917722397,Casas,0.0,214,4,4,3,Fortaleza,Vila União,720000.0
92,958496800,Apartamentos,20.0,0,3,2,1,Fortaleza,Vila União,225000.0
93,920656202,Apartamentos,200.0,90,3,3,1,Fortaleza,Vila União,250000.0
94,956763776,Apartamentos,390.0,0,3,2,2,Fortaleza,Vila União,190.0
95,923073067,Apartamentos,550.0,169,3,3,2,Fortaleza,Vila União,210000.0
96,956380707,Apartamentos,820.0,110,3,3,1,Fortaleza,Vila União,300000.0
97,955920410,Apartamentos,589.0,212,3,4,2,Fortaleza,Vila União,398000.0
98,892176055,Casas,0.0,494,4,,5 ou mais,Fortaleza,Vila União,515000.0
99,952906011,Apartamentos,0.0,60,2,1,1,Fortaleza,Vila União,240000.0
