,Código,Categoria,Condomínio,Área,Quartos,Banheiros,Vagas na garagem,Município,Bairro,Preço
0,977650748,Casas,0.0,76,3,3,2,Fortaleza,Vila Velha,220000.0
1,959043161,Apartamentos,250.0,47,2,1,1,Fortaleza,Vila Velha,120000.0
2,951136686,Casas,0.0,240,3,2,3,Fortaleza,Vila Velha,390000.0
3,920378254,Apartamentos,222.0,44,2,1,1,Fortaleza,Vila Velha,130000.0
4,977192173,Casas,0.0,250,3,2,3,Fortaleza,Vila Velha,400000.0
5,951997182,Casas,190.0,160,5 ou mais,3,4,Fortaleza,Vila Velha,410000.0
6,977010411,Apartamentos,65.0,0,2,1,1,Fortaleza,Vila Velha,56000.0
7,976949858,Casas,0.0,318,2,1,1,Fortaleza,Vila Velha,550000.0
8,900200608,Casas,0.0,340,3,4,3,Fortaleza,Vila Velha,420000.0
9,951138224,Casas,0.0,231,3,3,2,Fortaleza,Vila Velha,330000.0
10,925582265,Casas,0.0,125,2,2,2,Fortaleza,Vila Velha,0.0
11,975915741,Apartamentos,222.0,44,2,1,1,Fortaleza,Vila Velha,120000.0
12,975521070,Casas,0.0,200,2,2,2,Fortaleza,Vila Velha,101715.0
13,892219407,Apartamentos,0.0,504,2,2,0,Fortaleza,Vila Velha,460000.0
14,936375416,Casas,0.0,231,3,3,3,Fortaleza,Vila Velha,330000.0
15,925582436,Casas,0.0,125,2,2,2,Fortaleza,Vila Velha,0.0
16,925582631,Casas,0.0,180,3,2,2,Fortaleza,Vila Velha,0.0
17,925582599,Casas,0.0,125,2,2,2,Fortaleza,Vila Velha,0.0
18,963301726,Casas,0.0,240,3,2,4,Fortaleza,Vila Velha,390000.0
19,974688530,Apartamentos,0.0,50,2,1,2,Fortaleza,Vila Velha,0.0
20,933299706,Casas,0.0,0,1,1,1,Fortaleza,Vila Velha,380000.0
21,924123143,Casas,0.0,422,4,4,3,Fortaleza,Vila Velha,800000.0
22,925257020,Casas,0.0,125,2,2,2,Fortaleza,Vila Velha,0.0
23,925256932,Casas,0.0,125,2,2,2,Fortaleza,Vila Velha,130000.0
24,949485697,Apartamentos,0.0,58,2,1,1,Fortaleza,Vila Velha,147000.0
25,903650418,Apartamentos,0.0,53,2,1,1,Fortaleza,Vila Velha,150000.0
26,935533992,Casas,0.0,240,3,2,3,Fortaleza,Vila Velha,390000.0
27,898927654,Apartamentos,250.0,47,2,1,1,Fortaleza,Vila Velha,110000.0
28,973246870,Casas,0.0,0,2,1,0,Fortaleza,Vila Velha,0.0
29,973137361,Apartamentos,130000.0,44,2,1,1,Fortaleza,Vila Velha,130000.0
30,973028432,Casas,0.0,110,3,1,5 ou mais,Fortaleza,Vila Velha,360000.0
31,973019484,Casas,0.0,0,4,1,,Fortaleza,Vila Velha,50000.0
32,932606276,Casas,0.0,132,2,2,3,Fortaleza,Vila Velha,330000.0
33,636184402,Casas,0.0,165,4,2,4,Fortaleza,Vila Velha,300000.0
34,972090019,Casas,0.0,90,2,1,1,Fortaleza,Vila Velha,90000.0
35,972056772,Casas,0.0,0,5 ou mais,,,Fortaleza,Vila Velha,80.0
36,636184871,Casas,0.0,141,3,3,2,Fortaleza,Vila Velha,350000.0
37,971518702,Casas,0.0,0,1,1,1,Fortaleza,Vila Velha,140000.0
38,869913053,Casas,0.0,327,5 ou mais,4,4,Fortaleza,Vila Velha,680000.0
39,970983467,Casas,0.0,0,1,1,,Fortaleza,Vila Velha,10000.0
40,920036357,Casas,0.0,125,2,2,2,Fortaleza,Vila Velha,0.0
41,920036266,Casas,0.0,125,2,2,2,Fortaleza,Vila Velha,0.0
42,970579743,Casas,0.0,294,3,2,1,Fortaleza,Vila Velha,170000.0
43,970429490,Apartamentos,0.0,0,0,0,0,Fortaleza,Vila Velha,300000.0
44,969454042,Casas,0.0,130,2,1,,Fortaleza,Vila Velha,65000.0
45,930207648,Apartamentos,350.0,57,2,1,2,Fortaleza,Vila Velha,170000.0
46,968914706,Casas,0.0,240,3,2,4,Fortaleza,Vila Velha,390000.0
47,968889502,Apartamentos,0.0,0,2,1,1,Fortaleza,Vila Velha,65000.0
48,968304265,Casas,0.0,0,1,1,1,Fortaleza,Vila Velha,18000.0
49,907567745,Casas,0.0,150,3,2,3,Fortaleza,Vila Velha,320000.0
50,968211779,Casas,0.0,0,3,2,,Fortaleza,Vila Velha,45000.0
51,926334911,Apartamentos,250.0,47,2,1,1,Fortaleza,Vila Velha,130000.0
52,967779965,Casas,0.0,0,2,1,0,Fortaleza,Vila Velha,20000.0
53,966590919,Casas,0.0,120,2,2,2,Fortaleza,Vila Velha,150.0
54,966165791,Casas,0.0,0,4,,2,Fortaleza,Vila Velha,360000.0
55,965719465,Casas,0.0,0,3,3,1,Fortaleza,Vila Velha,95000.0
56,813473915,Casas,0.0,76,3,2,4,Fortaleza,Vila Velha,450000.0
57,673571194,Casas,0.0,182,3,4,4,Fortaleza,Vila Velha,390000.0
58,964694529,Casas,0.0,200,3,2,1,Fortaleza,Vila Velha,265000.0
59,964232731,Apartamentos,0.0,0,5 ou mais,5 ou mais,0,Fortaleza,Vila Velha,260000.0
60,963499442,Casas,0.0,0,4,2,1,Fortaleza,Vila Velha,280000.0
61,963306371,Casas,120000.0,0,3,2,1,Fortaleza,Vila Velha,120000.0
62,962823971,Casas,0.0,99,4,,1,Fortaleza,Jardim Guanabara,260000.0
63,962823037,Casas,0.0,0,2,2,,Fortaleza,Vila Velha,85000.0
64,962461188,Apartamentos,0.0,0,4,2,0,Fortaleza,Vila Velha,75000.0
65,961927594,Casas,0.0,0,0,0,0,Fortaleza,Vila Velha,0.0
66,961888913,Apartamentos,179.0,52,2,1,,Fortaleza,Vila Velha,65000.0
67,961684765,Casas,0.0,0,1,1,,Fortaleza,Vila Velha,90000.0
68,960601246,Casas,0.0,0,1,1,1,Fortaleza,Vila Velha,65000.0
69,960541280,Casas,0.0,0,4,1,0,Fortaleza,Vila Velha,0.0
70,959850163,Casas,0.0,120,4,3,1,Fortaleza,Vila Velha,350000.0
71,959461241,Casas,0.0,0,3,1,5 ou mais,Fortaleza,Vila Velha,85000.0
72,958586994,Casas,0.0,88,1,1,1,Fortaleza,Vila Velha,60000.0
73,957621604,Casas,0.0,200,5 ou mais,4,4,Fortaleza,Vila Velha,430000.0
74,957089242,Apartamentos,120000.0,55070,2,2,1,Fortaleza,Vila Velha,0.0
75,956951526,Casas,0.0,0,1,1,0,Fortaleza,Vila Velha,50000.0
76,956896306,Casas,0.0,0,3,2,1,Fortaleza,Vila Velha,70000.0
77,956589742,Casas,0.0,0,3,1,1,Fortaleza,Vila Velha,60000.0
78,956466661,Apartamentos,0.0,67,3,2,1,Fortaleza,Vila Velha,380000.0
79,920717945,Casas,0.0,228,3,2,5 ou mais,Fortaleza,Vila Velha,350000.0
80,956239176,Casas,0.0,25000,2,1,,Fortaleza,Vila Velha,40000.0
81,955996001,Casas,0.0,6,1,1,0,Fortaleza,Vila Velha,38000.0
82,955324386,Casas,0.0,0,3,2,1,Fortaleza,Vila Velha,35000.0
83,928536658,Casas,0.0,228,3,1,2,Fortaleza,Vila Velha,280000.0
84,954563202,Casas,0.0,140,5 ou mais,,,Fortaleza,Vila Velha,270000.0
85,938110489,Casas,0.0,240,4,4,4,Fortaleza,Vila Velha,460000.0
86,908357092,Casas,0.0,260,2,2,3,Fortaleza,Vila Velha,350000.0
87,875246869,Casas,0.0,192,3,2,3,Fortaleza,Vila Velha,320000.0
88,845211020,Casas,0.0,231,2,,,Fortaleza,Vila Velha,450000.0
89,567880974,Casas,0.0,0,2,1,1,Fortaleza,Vila Velha,180000.0
